--> Epoch 0: train loss 1.3720; validation loss 2.9395; train accuracy: 0.1754; best accuracy: 0.1754; validation F1-score: 0.1043
--> Epoch 1: train loss 1.3235; validation loss 2.9098; train accuracy: 0.1754; best accuracy: 0.1754; validation F1-score: 0.1090
--> Epoch 2: train loss 1.2849; validation loss 2.9017; train accuracy: 0.1754; best accuracy: 0.1754; validation F1-score: 0.1090
--> Epoch 3: train loss 1.2538; validation loss 2.8933; train accuracy: 0.1754; best accuracy: 0.1754; validation F1-score: 0.1090
--> Epoch 4: train loss 1.2277; validation loss 2.8714; train accuracy: 0.1930; best accuracy: 0.1930; validation F1-score: 0.1043
--> Epoch 5: train loss 1.2048; validation loss 2.8529; train accuracy: 0.2105; best accuracy: 0.2105; validation F1-score: 0.1043
--> Epoch 6: train loss 1.1842; validation loss 2.8399; train accuracy: 0.1930; best accuracy: 0.2105; validation F1-score: 0.0948
--> Epoch 7: train loss 1.1656; validation loss 2.8180; train accuracy: 0.1754; best accuracy: 0.2105; validation F1-score: 0.0900
--> Epoch 8: train loss 1.1480; validation loss 2.8060; train accuracy: 0.1930; best accuracy: 0.2105; validation F1-score: 0.0995
--> Epoch 9: train loss 1.1311; validation loss 2.7885; train accuracy: 0.1930; best accuracy: 0.2105; validation F1-score: 0.0995
--> Epoch 10: train loss 1.1148; validation loss 2.7690; train accuracy: 0.1930; best accuracy: 0.2105; validation F1-score: 0.0995
--> Epoch 11: train loss 1.0998; validation loss 2.7604; train accuracy: 0.2105; best accuracy: 0.2105; validation F1-score: 0.1137
--> Epoch 12: train loss 1.0852; validation loss 2.7414; train accuracy: 0.2105; best accuracy: 0.2105; validation F1-score: 0.1137
--> Epoch 13: train loss 1.0706; validation loss 2.7248; train accuracy: 0.2281; best accuracy: 0.2281; validation F1-score: 0.1280
--> Epoch 14: train loss 1.0562; validation loss 2.7065; train accuracy: 0.4912; best accuracy: 0.4912; validation F1-score: 0.5261
--> Epoch 15: train loss 1.0420; validation loss 2.6906; train accuracy: 0.4561; best accuracy: 0.4912; validation F1-score: 0.5498
--> Epoch 16: train loss 1.0281; validation loss 2.6742; train accuracy: 0.4561; best accuracy: 0.4912; validation F1-score: 0.5450
--> Epoch 17: train loss 1.0140; validation loss 2.6470; train accuracy: 0.4561; best accuracy: 0.4912; validation F1-score: 0.5640
--> Epoch 18: train loss 0.9997; validation loss 2.6355; train accuracy: 0.4912; best accuracy: 0.4912; validation F1-score: 0.5640
--> Epoch 19: train loss 0.9854; validation loss 2.6123; train accuracy: 0.4912; best accuracy: 0.4912; validation F1-score: 0.5592
--> Epoch 20: train loss 0.9709; validation loss 2.5941; train accuracy: 0.4912; best accuracy: 0.4912; validation F1-score: 0.5592
--> Epoch 21: train loss 0.9566; validation loss 2.5568; train accuracy: 0.4912; best accuracy: 0.4912; validation F1-score: 0.5592
--> Epoch 22: train loss 0.9432; validation loss 2.5324; train accuracy: 0.4912; best accuracy: 0.4912; validation F1-score: 0.5592
--> Epoch 23: train loss 0.9303; validation loss 2.5226; train accuracy: 0.4912; best accuracy: 0.4912; validation F1-score: 0.5592
--> Epoch 24: train loss 0.9181; validation loss 2.4851; train accuracy: 0.5088; best accuracy: 0.5088; validation F1-score: 0.5498
--> Epoch 25: train loss 0.9063; validation loss 2.4446; train accuracy: 0.5263; best accuracy: 0.5263; validation F1-score: 0.5592
--> Epoch 26: train loss 0.8946; validation loss 2.4077; train accuracy: 0.5614; best accuracy: 0.5614; validation F1-score: 0.5640
--> Epoch 27: train loss 0.8830; validation loss 2.3819; train accuracy: 0.5614; best accuracy: 0.5614; validation F1-score: 0.5782
