--> Epoch 0: train loss 1.3844; validation loss 4.2185; train accuracy: 0.0930; best accuracy: 0.0930; validation F1-score: 0.2240
--> Epoch 1: train loss 1.3461; validation loss 4.2050; train accuracy: 0.1860; best accuracy: 0.1860; validation F1-score: 0.2492
--> Epoch 2: train loss 1.3149; validation loss 4.2079; train accuracy: 0.1860; best accuracy: 0.1860; validation F1-score: 0.2492
--> Epoch 3: train loss 1.2891; validation loss 4.1912; train accuracy: 0.0930; best accuracy: 0.1860; validation F1-score: 0.2145
--> Epoch 4: train loss 1.2659; validation loss 4.2009; train accuracy: 0.0930; best accuracy: 0.1860; validation F1-score: 0.2145
--> Epoch 5: train loss 1.2450; validation loss 4.1977; train accuracy: 0.0814; best accuracy: 0.1860; validation F1-score: 0.2050
--> Epoch 6: train loss 1.2268; validation loss 4.2004; train accuracy: 0.0698; best accuracy: 0.1860; validation F1-score: 0.1861
--> Epoch 7: train loss 1.2100; validation loss 4.1830; train accuracy: 0.0698; best accuracy: 0.1860; validation F1-score: 0.1893
--> Epoch 8: train loss 1.1939; validation loss 4.1992; train accuracy: 0.0814; best accuracy: 0.1860; validation F1-score: 0.1956
--> Epoch 9: train loss 1.1783; validation loss 4.1783; train accuracy: 0.0814; best accuracy: 0.1860; validation F1-score: 0.1956
--> Epoch 10: train loss 1.1636; validation loss 4.1722; train accuracy: 0.0814; best accuracy: 0.1860; validation F1-score: 0.1987
--> Epoch 11: train loss 1.1492; validation loss 4.1705; train accuracy: 0.0814; best accuracy: 0.1860; validation F1-score: 0.2019
--> Epoch 12: train loss 1.1350; validation loss 4.1664; train accuracy: 0.0698; best accuracy: 0.1860; validation F1-score: 0.2019
--> Epoch 13: train loss 1.1213; validation loss 4.1608; train accuracy: 0.0814; best accuracy: 0.1860; validation F1-score: 0.1956
--> Epoch 14: train loss 1.1081; validation loss 4.1466; train accuracy: 0.0814; best accuracy: 0.1860; validation F1-score: 0.1956
--> Epoch 15: train loss 1.0952; validation loss 4.1359; train accuracy: 0.1047; best accuracy: 0.1860; validation F1-score: 0.2082
--> Epoch 16: train loss 1.0824; validation loss 4.1297; train accuracy: 0.1628; best accuracy: 0.1860; validation F1-score: 0.2524
--> Epoch 17: train loss 1.0702; validation loss 4.1274; train accuracy: 0.2093; best accuracy: 0.2093; validation F1-score: 0.2965
--> Epoch 18: train loss 1.0578; validation loss 4.1118; train accuracy: 0.3140; best accuracy: 0.3140; validation F1-score: 0.3565
--> Epoch 19: train loss 1.0457; validation loss 4.0970; train accuracy: 0.3372; best accuracy: 0.3372; validation F1-score: 0.3691
--> Epoch 20: train loss 1.0337; validation loss 4.0702; train accuracy: 0.3721; best accuracy: 0.3721; validation F1-score: 0.3880
--> Epoch 21: train loss 1.0218; validation loss 4.0526; train accuracy: 0.4419; best accuracy: 0.4419; validation F1-score: 0.4164
--> Epoch 22: train loss 1.0093; validation loss 4.0314; train accuracy: 0.5233; best accuracy: 0.5233; validation F1-score: 0.4606
--> Epoch 23: train loss 0.9973; validation loss 4.0311; train accuracy: 0.5465; best accuracy: 0.5465; validation F1-score: 0.4763
--> Epoch 24: train loss 0.9855; validation loss 4.0250; train accuracy: 0.5698; best accuracy: 0.5698; validation F1-score: 0.4763
--> Epoch 25: train loss 0.9734; validation loss 3.9812; train accuracy: 0.6047; best accuracy: 0.6047; validation F1-score: 0.4732
--> Epoch 26: train loss 0.9614; validation loss 3.9938; train accuracy: 0.6395; best accuracy: 0.6395; validation F1-score: 0.4700
--> Epoch 27: train loss 0.9496; validation loss 3.9427; train accuracy: 0.6512; best accuracy: 0.6512; validation F1-score: 0.4826
--> Epoch 28: train loss 0.9380; validation loss 3.9262; train accuracy: 0.6395; best accuracy: 0.6512; validation F1-score: 0.4858
--> Epoch 29: train loss 0.9264; validation loss 3.8901; train accuracy: 0.6512; best accuracy: 0.6512; validation F1-score: 0.4921
--> Epoch 30: train loss 0.9147; validation loss 3.8612; train accuracy: 0.6744; best accuracy: 0.6744; validation F1-score: 0.4953
--> Epoch 31: train loss 0.9029; validation loss 3.8214; train accuracy: 0.6860; best accuracy: 0.6860; validation F1-score: 0.4953
--> Epoch 32: train loss 0.8918; validation loss 3.7882; train accuracy: 0.7093; best accuracy: 0.7093; validation F1-score: 0.4890
--> Epoch 33: train loss 0.8807; validation loss 3.7923; train accuracy: 0.7326; best accuracy: 0.7326; validation F1-score: 0.4858
--> Epoch 34: train loss 0.8702; validation loss 3.7365; train accuracy: 0.7442; best accuracy: 0.7442; validation F1-score: 0.4890
--> Epoch 35: train loss 0.8596; validation loss 3.7172; train accuracy: 0.7442; best accuracy: 0.7442; validation F1-score: 0.4890
--> Epoch 36: train loss 0.8496; validation loss 3.7066; train accuracy: 0.7442; best accuracy: 0.7442; validation F1-score: 0.4953
--> Epoch 37: train loss 0.8393; validation loss 3.6908; train accuracy: 0.7442; best accuracy: 0.7442; validation F1-score: 0.5016
--> Epoch 38: train loss 0.8296; validation loss 3.6174; train accuracy: 0.7442; best accuracy: 0.7442; validation F1-score: 0.5047
--> Epoch 39: train loss 0.8203; validation loss 3.6813; train accuracy: 0.7442; best accuracy: 0.7442; validation F1-score: 0.5110
--> Epoch 40: train loss 0.8108; validation loss 3.5713; train accuracy: 0.7442; best accuracy: 0.7442; validation F1-score: 0.5142
--> Epoch 41: train loss 0.8016; validation loss 3.5767; train accuracy: 0.7442; best accuracy: 0.7442; validation F1-score: 0.5174
--> Epoch 42: train loss 0.7928; validation loss 3.5946; train accuracy: 0.7558; best accuracy: 0.7558; validation F1-score: 0.5174
--> Epoch 43: train loss 0.7842; validation loss 3.5128; train accuracy: 0.7558; best accuracy: 0.7558; validation F1-score: 0.5174
--> Epoch 44: train loss 0.7757; validation loss 3.4950; train accuracy: 0.7558; best accuracy: 0.7558; validation F1-score: 0.5142
--> Epoch 45: train loss 0.7676; validation loss 3.4819; train accuracy: 0.7558; best accuracy: 0.7558; validation F1-score: 0.5205
