--> Epoch 0: train loss 1.4287; validation loss 1.4442; train accuracy: 0.0968; best accuracy: 0.0968; validation F1-score: 0.1053
--> Epoch 1: train loss 1.3674; validation loss 1.4391; train accuracy: 0.0968; best accuracy: 0.0968; validation F1-score: 0.1140
--> Epoch 2: train loss 1.3202; validation loss 1.4347; train accuracy: 0.0968; best accuracy: 0.0968; validation F1-score: 0.1140
--> Epoch 3: train loss 1.2830; validation loss 1.4293; train accuracy: 0.0968; best accuracy: 0.0968; validation F1-score: 0.1053
--> Epoch 4: train loss 1.2510; validation loss 1.4230; train accuracy: 0.0968; best accuracy: 0.0968; validation F1-score: 0.1053
--> Epoch 5: train loss 1.2236; validation loss 1.4168; train accuracy: 0.0968; best accuracy: 0.0968; validation F1-score: 0.1140
--> Epoch 6: train loss 1.1992; validation loss 1.4109; train accuracy: 0.0968; best accuracy: 0.0968; validation F1-score: 0.1140
--> Epoch 7: train loss 1.1762; validation loss 1.4052; train accuracy: 0.0968; best accuracy: 0.0968; validation F1-score: 0.1140
--> Epoch 8: train loss 1.1546; validation loss 1.3997; train accuracy: 0.0968; best accuracy: 0.0968; validation F1-score: 0.1228
--> Epoch 9: train loss 1.1351; validation loss 1.3945; train accuracy: 0.1290; best accuracy: 0.1290; validation F1-score: 0.1140
--> Epoch 10: train loss 1.1171; validation loss 1.3896; train accuracy: 0.1290; best accuracy: 0.1290; validation F1-score: 0.1053
--> Epoch 11: train loss 1.1001; validation loss 1.3851; train accuracy: 0.1613; best accuracy: 0.1613; validation F1-score: 0.1053
--> Epoch 12: train loss 1.0836; validation loss 1.3805; train accuracy: 0.2258; best accuracy: 0.2258; validation F1-score: 0.1667
--> Epoch 13: train loss 1.0683; validation loss 1.3758; train accuracy: 0.4194; best accuracy: 0.4194; validation F1-score: 0.2281
--> Epoch 14: train loss 1.0541; validation loss 1.3710; train accuracy: 0.5161; best accuracy: 0.5161; validation F1-score: 0.3333
--> Epoch 15: train loss 1.0405; validation loss 1.3664; train accuracy: 0.5161; best accuracy: 0.5161; validation F1-score: 0.4035
--> Epoch 16: train loss 1.0273; validation loss 1.3618; train accuracy: 0.4839; best accuracy: 0.5161; validation F1-score: 0.4035
--> Epoch 17: train loss 1.0145; validation loss 1.3572; train accuracy: 0.5161; best accuracy: 0.5161; validation F1-score: 0.4035
--> Epoch 18: train loss 1.0018; validation loss 1.3526; train accuracy: 0.5161; best accuracy: 0.5161; validation F1-score: 0.4211
--> Epoch 19: train loss 0.9891; validation loss 1.3480; train accuracy: 0.5161; best accuracy: 0.5161; validation F1-score: 0.4211
--> Epoch 20: train loss 0.9766; validation loss 1.3434; train accuracy: 0.5161; best accuracy: 0.5161; validation F1-score: 0.4211
--> Epoch 21: train loss 0.9641; validation loss 1.3384; train accuracy: 0.5161; best accuracy: 0.5161; validation F1-score: 0.4298
--> Epoch 22: train loss 0.9515; validation loss 1.3326; train accuracy: 0.5806; best accuracy: 0.5806; validation F1-score: 0.4386
--> Epoch 23: train loss 0.9390; validation loss 1.3264; train accuracy: 0.5806; best accuracy: 0.5806; validation F1-score: 0.4474
--> Epoch 24: train loss 0.9266; validation loss 1.3197; train accuracy: 0.6129; best accuracy: 0.6129; validation F1-score: 0.4386
--> Epoch 25: train loss 0.9144; validation loss 1.3127; train accuracy: 0.6774; best accuracy: 0.6774; validation F1-score: 0.4561
--> Epoch 26: train loss 0.9027; validation loss 1.3054; train accuracy: 0.6774; best accuracy: 0.6774; validation F1-score: 0.4649
--> Epoch 27: train loss 0.8911; validation loss 1.2977; train accuracy: 0.7097; best accuracy: 0.7097; validation F1-score: 0.4737
--> Epoch 28: train loss 0.8797; validation loss 1.2898; train accuracy: 0.7097; best accuracy: 0.7097; validation F1-score: 0.4912
--> Epoch 29: train loss 0.8679; validation loss 1.2817; train accuracy: 0.7097; best accuracy: 0.7097; validation F1-score: 0.5000
--> Epoch 30: train loss 0.8559; validation loss 1.2736; train accuracy: 0.7097; best accuracy: 0.7097; validation F1-score: 0.5175
--> Epoch 31: train loss 0.8443; validation loss 1.2660; train accuracy: 0.7097; best accuracy: 0.7097; validation F1-score: 0.5263
--> Epoch 32: train loss 0.8329; validation loss 1.2589; train accuracy: 0.7097; best accuracy: 0.7097; validation F1-score: 0.5263
--> Epoch 33: train loss 0.8213; validation loss 1.2518; train accuracy: 0.7097; best accuracy: 0.7097; validation F1-score: 0.5263
--> Epoch 34: train loss 0.8100; validation loss 1.2440; train accuracy: 0.7097; best accuracy: 0.7097; validation F1-score: 0.5263
--> Epoch 35: train loss 0.7986; validation loss 1.2367; train accuracy: 0.7419; best accuracy: 0.7419; validation F1-score: 0.5263
--> Epoch 36: train loss 0.7873; validation loss 1.2303; train accuracy: 0.7419; best accuracy: 0.7419; validation F1-score: 0.5263
--> Epoch 37: train loss 0.7754; validation loss 1.2249; train accuracy: 0.7419; best accuracy: 0.7419; validation F1-score: 0.5263
--> Epoch 38: train loss 0.7637; validation loss 1.2205; train accuracy: 0.7419; best accuracy: 0.7419; validation F1-score: 0.5175
--> Epoch 39: train loss 0.7521; validation loss 1.2164; train accuracy: 0.7419; best accuracy: 0.7419; validation F1-score: 0.5263
--> Epoch 40: train loss 0.7401; validation loss 1.2118; train accuracy: 0.7419; best accuracy: 0.7419; validation F1-score: 0.5351
--> Epoch 41: train loss 0.7282; validation loss 1.2070; train accuracy: 0.7419; best accuracy: 0.7419; validation F1-score: 0.5263
--> Epoch 42: train loss 0.7167; validation loss 1.2023; train accuracy: 0.7742; best accuracy: 0.7742; validation F1-score: 0.5263
--> Epoch 43: train loss 0.7049; validation loss 1.1981; train accuracy: 0.7742; best accuracy: 0.7742; validation F1-score: 0.5351
--> Epoch 44: train loss 0.6933; validation loss 1.1950; train accuracy: 0.8065; best accuracy: 0.8065; validation F1-score: 0.5439
--> Epoch 45: train loss 0.6814; validation loss 1.1932; train accuracy: 0.7742; best accuracy: 0.8065; validation F1-score: 0.5263
--> Epoch 46: train loss 0.6694; validation loss 1.1914; train accuracy: 0.7742; best accuracy: 0.8065; validation F1-score: 0.5263
--> Epoch 47: train loss 0.6578; validation loss 1.1880; train accuracy: 0.8065; best accuracy: 0.8065; validation F1-score: 0.5263
--> Epoch 48: train loss 0.6462; validation loss 1.1880; train accuracy: 0.8065; best accuracy: 0.8065; validation F1-score: 0.5263
--> Epoch 49: train loss 0.6352; validation loss 1.1833; train accuracy: 0.8065; best accuracy: 0.8065; validation F1-score: 0.5351
--> Epoch 50: train loss 0.6241; validation loss 1.1838; train accuracy: 0.8065; best accuracy: 0.8065; validation F1-score: 0.5526
--> Epoch 51: train loss 0.6132; validation loss 1.1804; train accuracy: 0.8065; best accuracy: 0.8065; validation F1-score: 0.5526
--> Epoch 52: train loss 0.6023; validation loss 1.1777; train accuracy: 0.8065; best accuracy: 0.8065; validation F1-score: 0.5439
--> Epoch 53: train loss 0.5916; validation loss 1.1768; train accuracy: 0.8065; best accuracy: 0.8065; validation F1-score: 0.5439
--> Epoch 54: train loss 0.5814; validation loss 1.1724; train accuracy: 0.8065; best accuracy: 0.8065; validation F1-score: 0.5526
--> Epoch 55: train loss 0.5712; validation loss 1.1830; train accuracy: 0.7742; best accuracy: 0.8065; validation F1-score: 0.5439
--> Epoch 56: train loss 0.5623; validation loss 1.1526; train accuracy: 0.8387; best accuracy: 0.8387; validation F1-score: 0.5351
--> Epoch 57: train loss 0.5583; validation loss 1.1687; train accuracy: 0.8065; best accuracy: 0.8387; validation F1-score: 0.5526
--> Epoch 58: train loss 0.5437; validation loss 1.2106; train accuracy: 0.7742; best accuracy: 0.8387; validation F1-score: 0.5351
--> Epoch 59: train loss 0.5482; validation loss 1.1508; train accuracy: 0.8387; best accuracy: 0.8387; validation F1-score: 0.5439
--> Epoch 60: train loss 0.5316; validation loss 1.1417; train accuracy: 0.8065; best accuracy: 0.8387; validation F1-score: 0.5439
--> Epoch 61: train loss 0.5333; validation loss 1.1522; train accuracy: 0.8387; best accuracy: 0.8387; validation F1-score: 0.5614
--> Epoch 62: train loss 0.5172; validation loss 1.2005; train accuracy: 0.7742; best accuracy: 0.8387; validation F1-score: 0.5351
--> Epoch 63: train loss 0.5049; validation loss 1.2190; train accuracy: 0.7742; best accuracy: 0.8387; validation F1-score: 0.5263
--> Epoch 64: train loss 0.5090; validation loss 1.1625; train accuracy: 0.8065; best accuracy: 0.8387; validation F1-score: 0.5702
--> Epoch 65: train loss 0.4892; validation loss 1.1290; train accuracy: 0.8387; best accuracy: 0.8387; validation F1-score: 0.5702
--> Epoch 66: train loss 0.4895; validation loss 1.1276; train accuracy: 0.8387; best accuracy: 0.8387; validation F1-score: 0.5614
--> Epoch 67: train loss 0.4823; validation loss 1.1606; train accuracy: 0.8065; best accuracy: 0.8387; validation F1-score: 0.5702
--> Epoch 68: train loss 0.4696; validation loss 1.2054; train accuracy: 0.7742; best accuracy: 0.8387; validation F1-score: 0.5351
--> Epoch 69: train loss 0.4720; validation loss 1.1607; train accuracy: 0.8387; best accuracy: 0.8387; validation F1-score: 0.5614
--> Epoch 70: train loss 0.4574; validation loss 1.1131; train accuracy: 0.9032; best accuracy: 0.9032; validation F1-score: 0.5789
--> Epoch 71: train loss 0.4541; validation loss 1.1058; train accuracy: 0.9032; best accuracy: 0.9032; validation F1-score: 0.5877
--> Epoch 72: train loss 0.4493; validation loss 1.1295; train accuracy: 0.9032; best accuracy: 0.9032; validation F1-score: 0.5877
--> Epoch 73: train loss 0.4397; validation loss 1.1647; train accuracy: 0.8065; best accuracy: 0.9032; validation F1-score: 0.5702
--> Epoch 74: train loss 0.4385; validation loss 1.1273; train accuracy: 0.9032; best accuracy: 0.9032; validation F1-score: 0.5702
--> Epoch 75: train loss 0.4287; validation loss 1.0951; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.5789
--> Epoch 76: train loss 0.4250; validation loss 1.0997; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.5789
--> Epoch 77: train loss 0.4197; validation loss 1.1301; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.5702
--> Epoch 78: train loss 0.4124; validation loss 1.1396; train accuracy: 0.9032; best accuracy: 0.9355; validation F1-score: 0.5702
--> Epoch 79: train loss 0.4095; validation loss 1.0964; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.5965
--> Epoch 80: train loss 0.4017; validation loss 1.0859; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.6140
--> Epoch 81: train loss 0.3989; validation loss 1.1071; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.5965
--> Epoch 82: train loss 0.3918; validation loss 1.1331; train accuracy: 0.9032; best accuracy: 0.9355; validation F1-score: 0.5789
--> Epoch 83: train loss 0.3891; validation loss 1.0986; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.5965
--> Epoch 84: train loss 0.3823; validation loss 1.0908; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.6316
--> Epoch 85: train loss 0.3789; validation loss 1.1160; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.5965
--> Epoch 86: train loss 0.3726; validation loss 1.1281; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.5877
--> Epoch 87: train loss 0.3692; validation loss 1.0941; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.6228
--> Epoch 88: train loss 0.3640; validation loss 1.0938; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.6140
--> Epoch 89: train loss 0.3594; validation loss 1.1192; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.5965
--> Epoch 90: train loss 0.3558; validation loss 1.1024; train accuracy: 0.9355; best accuracy: 0.9355; validation F1-score: 0.6053
--> 10day_winter_2022-24 Test Accuracy: 0.6508
0.6507936507936508
