--> Epoch 0: train loss 2.6074; validation loss 7.0342; train accuracy: 0.2674; best accuracy: 0.2674; validation F1-score: 0.2413
--> Epoch 1: train loss 2.3484; validation loss 6.9899; train accuracy: 0.1977; best accuracy: 0.2674; validation F1-score: 0.1893
--> Epoch 2: train loss 2.0990; validation loss 6.9675; train accuracy: 0.1221; best accuracy: 0.2674; validation F1-score: 0.1167
--> Epoch 3: train loss 2.0448; validation loss 6.9361; train accuracy: 0.1744; best accuracy: 0.2674; validation F1-score: 0.1688
--> Epoch 4: train loss 2.0024; validation loss 6.8927; train accuracy: 0.2791; best accuracy: 0.2791; validation F1-score: 0.2697
--> Epoch 5: train loss 1.8648; validation loss 6.8431; train accuracy: 0.3198; best accuracy: 0.3198; validation F1-score: 0.3139
--> Epoch 6: train loss 1.8201; validation loss 6.7910; train accuracy: 0.4128; best accuracy: 0.4128; validation F1-score: 0.3833
--> Epoch 7: train loss 1.6863; validation loss 6.7212; train accuracy: 0.4767; best accuracy: 0.4767; validation F1-score: 0.4211
--> Epoch 8: train loss 1.6945; validation loss 6.6415; train accuracy: 0.5407; best accuracy: 0.5407; validation F1-score: 0.4653
--> Epoch 9: train loss 1.8276; validation loss 6.3656; train accuracy: 0.5756; best accuracy: 0.5756; validation F1-score: 0.4700
--> Epoch 10: train loss 1.6359; validation loss 6.0748; train accuracy: 0.5698; best accuracy: 0.5756; validation F1-score: 0.4669
--> Epoch 11: train loss 1.5362; validation loss 5.9927; train accuracy: 0.4709; best accuracy: 0.5756; validation F1-score: 0.4432
--> Epoch 12: train loss 1.6838; validation loss 5.8719; train accuracy: 0.5116; best accuracy: 0.5756; validation F1-score: 0.4685
--> Epoch 13: train loss 1.4540; validation loss 5.7777; train accuracy: 0.5523; best accuracy: 0.5756; validation F1-score: 0.4937
--> Epoch 14: train loss 1.4755; validation loss 5.7624; train accuracy: 0.5291; best accuracy: 0.5756; validation F1-score: 0.4953
--> Epoch 15: train loss 1.5118; validation loss 5.9063; train accuracy: 0.4593; best accuracy: 0.5756; validation F1-score: 0.4022
--> Epoch 16: train loss 1.6642; validation loss 6.4630; train accuracy: 0.4767; best accuracy: 0.5756; validation F1-score: 0.3880
--> Epoch 17: train loss 1.4362; validation loss 6.9704; train accuracy: 0.4767; best accuracy: 0.5756; validation F1-score: 0.3959
--> Epoch 18: train loss 1.4096; validation loss 6.0333; train accuracy: 0.5116; best accuracy: 0.5756; validation F1-score: 0.4227
--> Epoch 19: train loss 1.3726; validation loss 5.1360; train accuracy: 0.5756; best accuracy: 0.5756; validation F1-score: 0.5126
--> Epoch 20: train loss 1.4186; validation loss 4.6100; train accuracy: 0.6628; best accuracy: 0.6628; validation F1-score: 0.5962
--> Epoch 21: train loss 1.3516; validation loss 4.4181; train accuracy: 0.7209; best accuracy: 0.7209; validation F1-score: 0.6467
--> Epoch 22: train loss 1.2605; validation loss 4.5125; train accuracy: 0.6860; best accuracy: 0.7209; validation F1-score: 0.6293
--> Epoch 23: train loss 1.2415; validation loss 4.6801; train accuracy: 0.6860; best accuracy: 0.7209; validation F1-score: 0.5946
--> Epoch 24: train loss 1.2793; validation loss 4.6556; train accuracy: 0.6919; best accuracy: 0.7209; validation F1-score: 0.5931
--> Epoch 25: train loss 1.1796; validation loss 4.4775; train accuracy: 0.6919; best accuracy: 0.7209; validation F1-score: 0.6120
--> Epoch 26: train loss 1.1528; validation loss 5.6943; train accuracy: 0.5407; best accuracy: 0.7209; validation F1-score: 0.4779
--> Epoch 27: train loss 1.2304; validation loss 5.2412; train accuracy: 0.5756; best accuracy: 0.7209; validation F1-score: 0.5536
--> Epoch 28: train loss 1.1853; validation loss 4.3360; train accuracy: 0.7384; best accuracy: 0.7384; validation F1-score: 0.6262
--> Epoch 29: train loss 1.0816; validation loss 4.3763; train accuracy: 0.6977; best accuracy: 0.7384; validation F1-score: 0.6104
--> Epoch 30: train loss 1.1227; validation loss 4.2653; train accuracy: 0.7093; best accuracy: 0.7384; validation F1-score: 0.5883
--> Epoch 31: train loss 1.0881; validation loss 4.1014; train accuracy: 0.7151; best accuracy: 0.7384; validation F1-score: 0.6640
--> Epoch 32: train loss 0.9860; validation loss 3.9059; train accuracy: 0.7733; best accuracy: 0.7733; validation F1-score: 0.6877
--> Epoch 33: train loss 0.9105; validation loss 4.3119; train accuracy: 0.6977; best accuracy: 0.7733; validation F1-score: 0.6278
--> Epoch 34: train loss 1.0233; validation loss 4.7324; train accuracy: 0.7035; best accuracy: 0.7733; validation F1-score: 0.6009
--> Epoch 35: train loss 0.9066; validation loss 5.2357; train accuracy: 0.6686; best accuracy: 0.7733; validation F1-score: 0.5804
--> Epoch 36: train loss 0.9956; validation loss 4.6249; train accuracy: 0.7209; best accuracy: 0.7733; validation F1-score: 0.6151
--> Epoch 37: train loss 0.9231; validation loss 4.3435; train accuracy: 0.7965; best accuracy: 0.7965; validation F1-score: 0.6593
--> Epoch 38: train loss 0.8825; validation loss 3.8338; train accuracy: 0.8198; best accuracy: 0.8198; validation F1-score: 0.7003
--> Epoch 39: train loss 0.9164; validation loss 3.8510; train accuracy: 0.8198; best accuracy: 0.8198; validation F1-score: 0.6814
--> Epoch 40: train loss 0.9851; validation loss 3.8376; train accuracy: 0.8314; best accuracy: 0.8314; validation F1-score: 0.7066
--> Epoch 41: train loss 0.8194; validation loss 3.6758; train accuracy: 0.8081; best accuracy: 0.8314; validation F1-score: 0.7019
--> Epoch 42: train loss 0.8771; validation loss 4.6411; train accuracy: 0.7442; best accuracy: 0.8314; validation F1-score: 0.6246
--> Epoch 43: train loss 0.9926; validation loss 4.3938; train accuracy: 0.7500; best accuracy: 0.8314; validation F1-score: 0.6388
