--> Epoch 0: train loss 2.9502; validation loss 12.3779; train accuracy: 0.2093; best accuracy: 0.2093; validation F1-score: 0.1609
--> Epoch 1: train loss 2.4940; validation loss 9.8489; train accuracy: 0.0523; best accuracy: 0.2093; validation F1-score: 0.0426
--> Epoch 2: train loss 2.1460; validation loss 8.8905; train accuracy: 0.1686; best accuracy: 0.2093; validation F1-score: 0.1656
--> Epoch 3: train loss 1.8886; validation loss 8.3559; train accuracy: 0.2267; best accuracy: 0.2267; validation F1-score: 0.2334
--> Epoch 4: train loss 1.8997; validation loss 7.9266; train accuracy: 0.2326; best accuracy: 0.2326; validation F1-score: 0.2303
--> Epoch 5: train loss 1.5542; validation loss 7.5815; train accuracy: 0.1163; best accuracy: 0.2326; validation F1-score: 0.0883
--> Epoch 6: train loss 1.4606; validation loss 7.2369; train accuracy: 0.0640; best accuracy: 0.2326; validation F1-score: 0.0489
--> Epoch 7: train loss 1.3140; validation loss 6.8992; train accuracy: 0.3605; best accuracy: 0.3605; validation F1-score: 0.2997
--> Epoch 8: train loss 1.2848; validation loss 6.4846; train accuracy: 0.4884; best accuracy: 0.4884; validation F1-score: 0.4842
--> Epoch 9: train loss 1.1472; validation loss 6.1021; train accuracy: 0.7093; best accuracy: 0.7093; validation F1-score: 0.6483
--> Epoch 10: train loss 1.0694; validation loss 5.6559; train accuracy: 0.7791; best accuracy: 0.7791; validation F1-score: 0.7334
--> Epoch 11: train loss 1.0961; validation loss 5.1848; train accuracy: 0.8198; best accuracy: 0.8198; validation F1-score: 0.7965
--> Epoch 12: train loss 1.1404; validation loss 4.6622; train accuracy: 0.8605; best accuracy: 0.8605; validation F1-score: 0.8297
--> Epoch 13: train loss 0.9349; validation loss 4.2187; train accuracy: 0.8605; best accuracy: 0.8605; validation F1-score: 0.8297
--> Epoch 14: train loss 0.8825; validation loss 3.7998; train accuracy: 0.8779; best accuracy: 0.8779; validation F1-score: 0.8438
--> Epoch 15: train loss 0.8492; validation loss 3.4414; train accuracy: 0.8779; best accuracy: 0.8779; validation F1-score: 0.8612
--> Epoch 16: train loss 0.8974; validation loss 3.1475; train accuracy: 0.8837; best accuracy: 0.8837; validation F1-score: 0.8659
--> Epoch 17: train loss 0.8294; validation loss 2.8981; train accuracy: 0.8895; best accuracy: 0.8895; validation F1-score: 0.8770
--> Epoch 18: train loss 0.7574; validation loss 2.6785; train accuracy: 0.8953; best accuracy: 0.8953; validation F1-score: 0.8833
--> Epoch 19: train loss 0.7384; validation loss 2.4955; train accuracy: 0.8953; best accuracy: 0.8953; validation F1-score: 0.8849
--> Epoch 20: train loss 0.9862; validation loss 2.3324; train accuracy: 0.8953; best accuracy: 0.8953; validation F1-score: 0.8927
--> Epoch 21: train loss 0.7582; validation loss 2.1834; train accuracy: 0.8953; best accuracy: 0.8953; validation F1-score: 0.8927
--> Epoch 22: train loss 0.6770; validation loss 2.0836; train accuracy: 0.8953; best accuracy: 0.8953; validation F1-score: 0.8959
--> Epoch 23: train loss 0.6709; validation loss 1.9996; train accuracy: 0.8953; best accuracy: 0.8953; validation F1-score: 0.8959
--> Epoch 24: train loss 0.7020; validation loss 1.9295; train accuracy: 0.8953; best accuracy: 0.8953; validation F1-score: 0.8991
--> Epoch 25: train loss 0.7494; validation loss 1.8636; train accuracy: 0.8953; best accuracy: 0.8953; validation F1-score: 0.9038
--> Epoch 26: train loss 0.7556; validation loss 1.8016; train accuracy: 0.8953; best accuracy: 0.8953; validation F1-score: 0.9069
--> Epoch 27: train loss 0.6397; validation loss 1.7386; train accuracy: 0.9070; best accuracy: 0.9070; validation F1-score: 0.9132
--> Epoch 28: train loss 0.6255; validation loss 1.6903; train accuracy: 0.9128; best accuracy: 0.9128; validation F1-score: 0.9132
--> Epoch 29: train loss 0.6551; validation loss 1.6688; train accuracy: 0.9186; best accuracy: 0.9186; validation F1-score: 0.9132
--> Epoch 30: train loss 0.7058; validation loss 1.6334; train accuracy: 0.9186; best accuracy: 0.9186; validation F1-score: 0.9148
--> Epoch 31: train loss 0.7098; validation loss 1.6042; train accuracy: 0.9302; best accuracy: 0.9302; validation F1-score: 0.9180
--> Epoch 32: train loss 0.5965; validation loss 1.5922; train accuracy: 0.9244; best accuracy: 0.9302; validation F1-score: 0.9180
--> Epoch 33: train loss 0.6771; validation loss 1.5880; train accuracy: 0.9302; best accuracy: 0.9302; validation F1-score: 0.9196
--> Epoch 34: train loss 0.6647; validation loss 1.5916; train accuracy: 0.9302; best accuracy: 0.9302; validation F1-score: 0.9259
--> Epoch 35: train loss 0.6234; validation loss 1.5980; train accuracy: 0.9360; best accuracy: 0.9360; validation F1-score: 0.9274
--> Epoch 36: train loss 0.6174; validation loss 1.5861; train accuracy: 0.9360; best accuracy: 0.9360; validation F1-score: 0.9274
--> Epoch 37: train loss 0.6457; validation loss 1.5547; train accuracy: 0.9360; best accuracy: 0.9360; validation F1-score: 0.9290
--> Epoch 38: train loss 0.7169; validation loss 1.5470; train accuracy: 0.9360; best accuracy: 0.9360; validation F1-score: 0.9306
--> Epoch 39: train loss 0.6834; validation loss 1.4873; train accuracy: 0.9360; best accuracy: 0.9360; validation F1-score: 0.9274
--> Epoch 40: train loss 0.6299; validation loss 1.4915; train accuracy: 0.9360; best accuracy: 0.9360; validation F1-score: 0.9259
--> Epoch 41: train loss 0.5339; validation loss 1.4372; train accuracy: 0.9302; best accuracy: 0.9360; validation F1-score: 0.9211
--> Epoch 42: train loss 0.6257; validation loss 1.4439; train accuracy: 0.9302; best accuracy: 0.9360; validation F1-score: 0.9243
--> Epoch 43: train loss 0.7197; validation loss 1.4499; train accuracy: 0.9302; best accuracy: 0.9360; validation F1-score: 0.9196
--> Epoch 44: train loss 0.5812; validation loss 1.3915; train accuracy: 0.9244; best accuracy: 0.9360; validation F1-score: 0.9196
--> Epoch 45: train loss 0.6767; validation loss 1.3614; train accuracy: 0.9244; best accuracy: 0.9360; validation F1-score: 0.9196
--> Epoch 46: train loss 1.0574; validation loss 1.3391; train accuracy: 0.9302; best accuracy: 0.9360; validation F1-score: 0.9196
--> Epoch 47: train loss 0.5489; validation loss 1.3894; train accuracy: 0.9302; best accuracy: 0.9360; validation F1-score: 0.9180
--> Epoch 48: train loss 0.5555; validation loss 1.4792; train accuracy: 0.9302; best accuracy: 0.9360; validation F1-score: 0.9180
--> Epoch 49: train loss 0.5758; validation loss 1.5677; train accuracy: 0.9302; best accuracy: 0.9360; validation F1-score: 0.9196
--> Epoch 50: train loss 0.7954; validation loss 1.7040; train accuracy: 0.8663; best accuracy: 0.9360; validation F1-score: 0.8896
--> Epoch 51: train loss 0.6120; validation loss 1.7453; train accuracy: 0.8023; best accuracy: 0.9360; validation F1-score: 0.8407
--> Epoch 52: train loss 0.5479; validation loss 1.7693; train accuracy: 0.7907; best accuracy: 0.9360; validation F1-score: 0.8281
--> Epoch 53: train loss 0.5962; validation loss 1.7324; train accuracy: 0.7965; best accuracy: 0.9360; validation F1-score: 0.8328
--> Epoch 54: train loss 0.4911; validation loss 1.7045; train accuracy: 0.8081; best accuracy: 0.9360; validation F1-score: 0.8375
--> Epoch 55: train loss 0.5534; validation loss 1.6536; train accuracy: 0.8081; best accuracy: 0.9360; validation F1-score: 0.8517
--> Epoch 56: train loss 0.5399; validation loss 1.6152; train accuracy: 0.8081; best accuracy: 0.9360; validation F1-score: 0.8549
--> 5day_surveyext_Nov22Feb24 Test Accuracy: 0.9393
0.9393063583815029
