--> Epoch 0: train loss 2.9192; validation loss 6.7708; train accuracy: 0.2907; best accuracy: 0.2907; validation F1-score: 0.2476
--> Epoch 1: train loss 2.5032; validation loss 6.7922; train accuracy: 0.3430; best accuracy: 0.3430; validation F1-score: 0.3044
--> Epoch 2: train loss 2.1650; validation loss 6.8284; train accuracy: 0.4477; best accuracy: 0.4477; validation F1-score: 0.4338
--> Epoch 3: train loss 1.9045; validation loss 6.9128; train accuracy: 0.4535; best accuracy: 0.4535; validation F1-score: 0.4401
--> Epoch 4: train loss 1.8899; validation loss 7.0050; train accuracy: 0.4593; best accuracy: 0.4593; validation F1-score: 0.4574
--> Epoch 5: train loss 1.5841; validation loss 7.0754; train accuracy: 0.5058; best accuracy: 0.5058; validation F1-score: 0.4732
--> Epoch 6: train loss 1.4838; validation loss 7.0624; train accuracy: 0.4942; best accuracy: 0.5058; validation F1-score: 0.4464
--> Epoch 7: train loss 1.3211; validation loss 6.9953; train accuracy: 0.5058; best accuracy: 0.5058; validation F1-score: 0.4606
--> Epoch 8: train loss 1.2993; validation loss 6.8242; train accuracy: 0.5174; best accuracy: 0.5174; validation F1-score: 0.4795
--> Epoch 9: train loss 1.1564; validation loss 6.6222; train accuracy: 0.5174; best accuracy: 0.5174; validation F1-score: 0.4811
--> Epoch 10: train loss 1.0679; validation loss 6.3754; train accuracy: 0.6163; best accuracy: 0.6163; validation F1-score: 0.5631
--> Epoch 11: train loss 1.0746; validation loss 6.0279; train accuracy: 0.7093; best accuracy: 0.7093; validation F1-score: 0.6577
--> Epoch 12: train loss 1.1443; validation loss 5.5335; train accuracy: 0.8372; best accuracy: 0.8372; validation F1-score: 0.8265
--> Epoch 13: train loss 0.9154; validation loss 4.9585; train accuracy: 0.8663; best accuracy: 0.8663; validation F1-score: 0.8517
--> Epoch 14: train loss 0.8742; validation loss 4.4106; train accuracy: 0.8721; best accuracy: 0.8721; validation F1-score: 0.8549
--> Epoch 15: train loss 0.8442; validation loss 3.9489; train accuracy: 0.8721; best accuracy: 0.8721; validation F1-score: 0.8565
--> Epoch 16: train loss 0.8965; validation loss 3.5450; train accuracy: 0.8721; best accuracy: 0.8721; validation F1-score: 0.8580
--> Epoch 17: train loss 0.8296; validation loss 3.1872; train accuracy: 0.8721; best accuracy: 0.8721; validation F1-score: 0.8596
--> Epoch 18: train loss 0.7673; validation loss 2.8895; train accuracy: 0.8721; best accuracy: 0.8721; validation F1-score: 0.8612
--> Epoch 19: train loss 0.7441; validation loss 2.6559; train accuracy: 0.8721; best accuracy: 0.8721; validation F1-score: 0.8644
--> Epoch 20: train loss 0.9474; validation loss 2.4862; train accuracy: 0.8779; best accuracy: 0.8779; validation F1-score: 0.8707
--> Epoch 21: train loss 0.7574; validation loss 2.3472; train accuracy: 0.8779; best accuracy: 0.8779; validation F1-score: 0.8785
--> Epoch 22: train loss 0.6871; validation loss 2.2523; train accuracy: 0.8837; best accuracy: 0.8837; validation F1-score: 0.8849
--> Epoch 23: train loss 0.6779; validation loss 2.1542; train accuracy: 0.8837; best accuracy: 0.8837; validation F1-score: 0.8864
--> Epoch 24: train loss 0.7105; validation loss 2.0666; train accuracy: 0.8837; best accuracy: 0.8837; validation F1-score: 0.8896
--> Epoch 25: train loss 0.7500; validation loss 1.9801; train accuracy: 0.8895; best accuracy: 0.8895; validation F1-score: 0.8959
--> Epoch 26: train loss 0.7500; validation loss 1.8987; train accuracy: 0.8953; best accuracy: 0.8953; validation F1-score: 0.9006
--> Epoch 27: train loss 0.6471; validation loss 1.8249; train accuracy: 0.9012; best accuracy: 0.9012; validation F1-score: 0.9101
--> Epoch 28: train loss 0.6343; validation loss 1.7870; train accuracy: 0.9070; best accuracy: 0.9070; validation F1-score: 0.9117
--> Epoch 29: train loss 0.6637; validation loss 1.7735; train accuracy: 0.9186; best accuracy: 0.9186; validation F1-score: 0.9148
--> Epoch 30: train loss 0.7057; validation loss 1.7257; train accuracy: 0.9244; best accuracy: 0.9244; validation F1-score: 0.9132
--> Epoch 31: train loss 0.7214; validation loss 1.6912; train accuracy: 0.9244; best accuracy: 0.9244; validation F1-score: 0.9132
--> Epoch 32: train loss 0.6079; validation loss 1.6619; train accuracy: 0.9244; best accuracy: 0.9244; validation F1-score: 0.9132
--> Epoch 33: train loss 0.6908; validation loss 1.6301; train accuracy: 0.9244; best accuracy: 0.9244; validation F1-score: 0.9148
--> Epoch 34: train loss 0.6712; validation loss 1.5920; train accuracy: 0.9244; best accuracy: 0.9244; validation F1-score: 0.9180
--> Epoch 35: train loss 0.6284; validation loss 1.5617; train accuracy: 0.9302; best accuracy: 0.9302; validation F1-score: 0.9180
--> Epoch 36: train loss 0.6190; validation loss 1.5243; train accuracy: 0.9302; best accuracy: 0.9302; validation F1-score: 0.9196
--> Epoch 37: train loss 0.6567; validation loss 1.4948; train accuracy: 0.9302; best accuracy: 0.9302; validation F1-score: 0.9196
--> Epoch 38: train loss 0.7026; validation loss 1.4901; train accuracy: 0.9302; best accuracy: 0.9302; validation F1-score: 0.9196
