--> Epoch 0: train loss 8.0727; validation loss 4.1542; train accuracy: 0.1389; best accuracy: 0.1389; validation F1-score: 0.1672
--> Epoch 1: train loss 7.0352; validation loss 4.1246; train accuracy: 0.1389; best accuracy: 0.1389; validation F1-score: 0.1672
--> Epoch 2: train loss 6.4665; validation loss 4.0930; train accuracy: 0.1597; best accuracy: 0.1597; validation F1-score: 0.1986
--> Epoch 3: train loss 5.9738; validation loss 3.8896; train accuracy: 0.3958; best accuracy: 0.3958; validation F1-score: 0.4077
--> Epoch 4: train loss 5.7001; validation loss 3.4529; train accuracy: 0.6694; best accuracy: 0.6694; validation F1-score: 0.6655
--> Epoch 5: train loss 5.4028; validation loss 3.1027; train accuracy: 0.7389; best accuracy: 0.7389; validation F1-score: 0.7526
--> Epoch 6: train loss 5.2487; validation loss 2.9144; train accuracy: 0.7389; best accuracy: 0.7389; validation F1-score: 0.7561
--> Epoch 7: train loss 5.0522; validation loss 2.5873; train accuracy: 0.7500; best accuracy: 0.7500; validation F1-score: 0.7561
--> Epoch 8: train loss 4.8857; validation loss 2.5719; train accuracy: 0.7542; best accuracy: 0.7542; validation F1-score: 0.7666
--> Epoch 9: train loss 4.7180; validation loss 2.3785; train accuracy: 0.7694; best accuracy: 0.7694; validation F1-score: 0.7491
--> Epoch 10: train loss 4.5640; validation loss 2.2682; train accuracy: 0.7778; best accuracy: 0.7778; validation F1-score: 0.7770
--> Epoch 11: train loss 4.4192; validation loss 2.2065; train accuracy: 0.7833; best accuracy: 0.7833; validation F1-score: 0.7840
--> Epoch 12: train loss 4.2528; validation loss 2.1478; train accuracy: 0.7958; best accuracy: 0.7958; validation F1-score: 0.7875
--> Epoch 13: train loss 4.1558; validation loss 1.9898; train accuracy: 0.7972; best accuracy: 0.7972; validation F1-score: 0.7979
--> Epoch 14: train loss 4.0137; validation loss 2.0500; train accuracy: 0.7944; best accuracy: 0.7972; validation F1-score: 0.8014
--> Epoch 15: train loss 3.8440; validation loss 1.9198; train accuracy: 0.8056; best accuracy: 0.8056; validation F1-score: 0.8049
--> Epoch 16: train loss 3.8041; validation loss 1.9465; train accuracy: 0.8097; best accuracy: 0.8097; validation F1-score: 0.7979
--> Epoch 17: train loss 3.7539; validation loss 1.9602; train accuracy: 0.8194; best accuracy: 0.8194; validation F1-score: 0.8188
--> Epoch 18: train loss 3.7368; validation loss 1.7348; train accuracy: 0.8153; best accuracy: 0.8194; validation F1-score: 0.8084
--> Epoch 19: train loss 3.6605; validation loss 1.7575; train accuracy: 0.8125; best accuracy: 0.8194; validation F1-score: 0.8118
--> Epoch 20: train loss 3.5453; validation loss 1.7953; train accuracy: 0.8153; best accuracy: 0.8194; validation F1-score: 0.8258
--> Epoch 21: train loss 3.5161; validation loss 1.7650; train accuracy: 0.8125; best accuracy: 0.8194; validation F1-score: 0.8084
--> Epoch 22: train loss 3.4046; validation loss 1.8528; train accuracy: 0.8250; best accuracy: 0.8250; validation F1-score: 0.8188
