--> Epoch 0: loss 2.3316; accuracy: 0.1111; best accuracy: 0.1111
--> Epoch 1: loss 2.2411; accuracy: 0.1111; best accuracy: 0.1111
--> Epoch 2: loss 2.1692; accuracy: 0.0000; best accuracy: 0.1111
--> Epoch 3: loss 2.1071; accuracy: 0.0000; best accuracy: 0.1111
--> Epoch 4: loss 2.0520; accuracy: 0.0000; best accuracy: 0.1111
--> Epoch 5: loss 2.0027; accuracy: 0.1111; best accuracy: 0.1111
--> Epoch 6: loss 1.9572; accuracy: 0.1111; best accuracy: 0.1111
--> Epoch 7: loss 1.9145; accuracy: 0.2222; best accuracy: 0.2222
--> Epoch 8: loss 1.8739; accuracy: 0.1111; best accuracy: 0.2222
--> Epoch 9: loss 1.8353; accuracy: 0.1111; best accuracy: 0.2222
--> Epoch 10: loss 1.7976; accuracy: 0.1111; best accuracy: 0.2222
--> Epoch 11: loss 1.7624; accuracy: 0.1111; best accuracy: 0.2222
--> Epoch 12: loss 1.7290; accuracy: 0.1111; best accuracy: 0.2222
--> Epoch 13: loss 1.6974; accuracy: 0.1111; best accuracy: 0.2222
--> Epoch 14: loss 1.6667; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 15: loss 1.6379; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 16: loss 1.6107; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 17: loss 1.5851; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 18: loss 1.5611; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 19: loss 1.5381; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 20: loss 1.5162; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 21: loss 1.4957; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 22: loss 1.4762; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 23: loss 1.4578; accuracy: 0.4444; best accuracy: 0.4444
--> Epoch 24: loss 1.4406; accuracy: 0.4444; best accuracy: 0.4444
--> Epoch 25: loss 1.4248; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 26: loss 1.4098; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 27: loss 1.3955; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 28: loss 1.3819; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 29: loss 1.3692; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 30: loss 1.3576; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 31: loss 1.3469; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 32: loss 1.3368; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 33: loss 1.3269; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 34: loss 1.3174; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 35: loss 1.3083; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 36: loss 1.2997; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 37: loss 1.2915; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 38: loss 1.2840; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 39: loss 1.2768; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 40: loss 1.2699; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 41: loss 1.2634; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 42: loss 1.2571; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 43: loss 1.2510; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 44: loss 1.2453; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 45: loss 1.2399; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 46: loss 1.2347; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 47: loss 1.2298; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 48: loss 1.2250; accuracy: 0.5556; best accuracy: 0.5556
--> Epoch 49: loss 1.2206; accuracy: 0.5556; best accuracy: 0.5556
--> AHU_Preheater Test Accuracy: 0.2770
0.2769607843137255
