--> Epoch 0: train loss 0.6411; validation loss 0.6271; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 1: train loss 0.5488; validation loss 0.6356; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 2: train loss 0.4775; validation loss 0.6413; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 3: train loss 0.4256; validation loss 0.6468; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7333
--> Epoch 4: train loss 0.3872; validation loss 0.6515; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7333
--> Epoch 5: train loss 0.3581; validation loss 0.6547; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7467
--> Epoch 6: train loss 0.3352; validation loss 0.6563; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7333
--> Epoch 7: train loss 0.3162; validation loss 0.6566; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7333
--> Epoch 8: train loss 0.3003; validation loss 0.6555; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 9: train loss 0.2862; validation loss 0.6532; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 10: train loss 0.2737; validation loss 0.6500; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 11: train loss 0.2621; validation loss 0.6462; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 12: train loss 0.2514; validation loss 0.6415; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 13: train loss 0.2414; validation loss 0.6359; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 14: train loss 0.2322; validation loss 0.6294; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 15: train loss 0.2234; validation loss 0.6220; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 16: train loss 0.2153; validation loss 0.6139; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 17: train loss 0.2077; validation loss 0.6053; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7200
--> Epoch 18: train loss 0.2008; validation loss 0.5962; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7333
--> Epoch 19: train loss 0.1945; validation loss 0.5867; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7600
--> Epoch 20: train loss 0.1885; validation loss 0.5766; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7600
--> Epoch 21: train loss 0.1827; validation loss 0.5660; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7733
--> Epoch 22: train loss 0.1774; validation loss 0.5553; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7733
--> Epoch 23: train loss 0.1722; validation loss 0.5446; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7733
--> Epoch 24: train loss 0.1672; validation loss 0.5342; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7867
--> Epoch 25: train loss 0.1625; validation loss 0.5241; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7867
--> Epoch 26: train loss 0.1579; validation loss 0.5147; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7867
--> Epoch 27: train loss 0.1535; validation loss 0.5062; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8000
--> Epoch 28: train loss 0.1495; validation loss 0.4984; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8133
--> Epoch 29: train loss 0.1455; validation loss 0.4915; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8133
--> Epoch 30: train loss 0.1416; validation loss 0.4853; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8133
--> Epoch 31: train loss 0.1379; validation loss 0.4799; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8133
--> Epoch 32: train loss 0.1343; validation loss 0.4752; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8133
--> Epoch 33: train loss 0.1310; validation loss 0.4713; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8133
--> Epoch 34: train loss 0.1277; validation loss 0.4679; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8133
--> Epoch 35: train loss 0.1245; validation loss 0.4650; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8133
--> Epoch 36: train loss 0.1215; validation loss 0.4625; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8133
--> Epoch 37: train loss 0.1186; validation loss 0.4605; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8133
--> Epoch 38: train loss 0.1159; validation loss 0.4589; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8133
--> Epoch 39: train loss 0.1133; validation loss 0.4576; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8133
--> Epoch 40: train loss 0.1108; validation loss 0.4565; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8267
--> Epoch 41: train loss 0.1084; validation loss 0.4556; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8267
--> Epoch 42: train loss 0.1060; validation loss 0.4548; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.8267
--> Epoch 43: train loss 0.1036; validation loss 0.4542; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8267
--> Epoch 44: train loss 0.1014; validation loss 0.4537; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8267
--> Epoch 45: train loss 0.0992; validation loss 0.4533; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8267
--> Epoch 46: train loss 0.0971; validation loss 0.4530; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8267
--> Epoch 47: train loss 0.0950; validation loss 0.4526; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8267
--> Epoch 48: train loss 0.0931; validation loss 0.4522; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8267
--> Epoch 49: train loss 0.0911; validation loss 0.4516; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8267
--> Epoch 50: train loss 0.0893; validation loss 0.4510; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8267
--> Epoch 51: train loss 0.0874; validation loss 0.4504; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8267
--> Epoch 52: train loss 0.0856; validation loss 0.4498; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8267
