--> Epoch 0: train loss 1.2326; validation loss 1.1532; train accuracy: 0.1500; best accuracy: 0.1500; validation F1-score: 0.1733
--> Epoch 1: train loss 1.1499; validation loss 1.1355; train accuracy: 0.1500; best accuracy: 0.1500; validation F1-score: 0.1733
--> Epoch 2: train loss 1.0806; validation loss 1.1245; train accuracy: 0.1500; best accuracy: 0.1500; validation F1-score: 0.1733
--> Epoch 3: train loss 1.0252; validation loss 1.1151; train accuracy: 0.1500; best accuracy: 0.1500; validation F1-score: 0.1733
--> Epoch 4: train loss 0.9806; validation loss 1.1068; train accuracy: 0.1500; best accuracy: 0.1500; validation F1-score: 0.1867
--> Epoch 5: train loss 0.9436; validation loss 1.1000; train accuracy: 0.1500; best accuracy: 0.1500; validation F1-score: 0.1867
--> Epoch 6: train loss 0.9126; validation loss 1.0948; train accuracy: 0.1000; best accuracy: 0.1500; validation F1-score: 0.1867
--> Epoch 7: train loss 0.8852; validation loss 1.0908; train accuracy: 0.1000; best accuracy: 0.1500; validation F1-score: 0.2400
--> Epoch 8: train loss 0.8606; validation loss 1.0875; train accuracy: 0.2500; best accuracy: 0.2500; validation F1-score: 0.3200
--> Epoch 9: train loss 0.8379; validation loss 1.0848; train accuracy: 0.5000; best accuracy: 0.5000; validation F1-score: 0.4133
--> Epoch 10: train loss 0.8166; validation loss 1.0823; train accuracy: 0.6000; best accuracy: 0.6000; validation F1-score: 0.4800
--> Epoch 11: train loss 0.7965; validation loss 1.0798; train accuracy: 0.7000; best accuracy: 0.7000; validation F1-score: 0.4933
--> Epoch 12: train loss 0.7783; validation loss 1.0772; train accuracy: 0.7000; best accuracy: 0.7000; validation F1-score: 0.4933
--> Epoch 13: train loss 0.7617; validation loss 1.0742; train accuracy: 0.7000; best accuracy: 0.7000; validation F1-score: 0.5200
--> Epoch 14: train loss 0.7456; validation loss 1.0708; train accuracy: 0.7000; best accuracy: 0.7000; validation F1-score: 0.5200
--> Epoch 15: train loss 0.7302; validation loss 1.0670; train accuracy: 0.7000; best accuracy: 0.7000; validation F1-score: 0.5333
--> Epoch 16: train loss 0.7153; validation loss 1.0626; train accuracy: 0.7500; best accuracy: 0.7500; validation F1-score: 0.5467
--> Epoch 17: train loss 0.7009; validation loss 1.0575; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.5467
--> Epoch 18: train loss 0.6871; validation loss 1.0516; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.5600
--> Epoch 19: train loss 0.6741; validation loss 1.0451; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.5600
--> Epoch 20: train loss 0.6619; validation loss 1.0381; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.6000
--> Epoch 21: train loss 0.6503; validation loss 1.0309; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.6133
--> Epoch 22: train loss 0.6392; validation loss 1.0235; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.6133
--> Epoch 23: train loss 0.6285; validation loss 1.0162; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.6400
--> Epoch 24: train loss 0.6179; validation loss 1.0089; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.6400
--> Epoch 25: train loss 0.6077; validation loss 1.0020; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.6400
--> Epoch 26: train loss 0.5981; validation loss 0.9950; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.6400
--> Epoch 27: train loss 0.5885; validation loss 0.9880; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.6533
--> Epoch 28: train loss 0.5790; validation loss 0.9814; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.6533
--> Epoch 29: train loss 0.5701; validation loss 0.9751; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.6533
--> Epoch 30: train loss 0.5613; validation loss 0.9690; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.6400
--> Epoch 31: train loss 0.5530; validation loss 0.9632; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.6400
--> Epoch 32: train loss 0.5446; validation loss 0.9577; train accuracy: 0.8000; best accuracy: 0.8000; validation F1-score: 0.6400
--> Epoch 33: train loss 0.5366; validation loss 0.9523; train accuracy: 0.8500; best accuracy: 0.8500; validation F1-score: 0.6400
--> Epoch 34: train loss 0.5288; validation loss 0.9470; train accuracy: 0.8500; best accuracy: 0.8500; validation F1-score: 0.6400
--> Epoch 35: train loss 0.5214; validation loss 0.9418; train accuracy: 0.8500; best accuracy: 0.8500; validation F1-score: 0.6400
--> Epoch 36: train loss 0.5141; validation loss 0.9367; train accuracy: 0.8500; best accuracy: 0.8500; validation F1-score: 0.6400
--> Epoch 37: train loss 0.5068; validation loss 0.9322; train accuracy: 0.8500; best accuracy: 0.8500; validation F1-score: 0.6400
--> Epoch 38: train loss 0.5001; validation loss 0.9283; train accuracy: 0.8500; best accuracy: 0.8500; validation F1-score: 0.6400
--> Epoch 39: train loss 0.4932; validation loss 0.9254; train accuracy: 0.8500; best accuracy: 0.8500; validation F1-score: 0.6400
