--> Epoch 0: train loss 1.1826; validation loss 1.1638; train accuracy: 0.2308; best accuracy: 0.2308; validation F1-score: 0.1684
--> Epoch 1: train loss 1.1268; validation loss 1.1480; train accuracy: 0.2308; best accuracy: 0.2308; validation F1-score: 0.1684
--> Epoch 2: train loss 1.0825; validation loss 1.1371; train accuracy: 0.2308; best accuracy: 0.2308; validation F1-score: 0.1684
--> Epoch 3: train loss 1.0454; validation loss 1.1287; train accuracy: 0.2308; best accuracy: 0.2308; validation F1-score: 0.1684
--> Epoch 4: train loss 1.0139; validation loss 1.1213; train accuracy: 0.2308; best accuracy: 0.2308; validation F1-score: 0.1684
--> Epoch 5: train loss 0.9870; validation loss 1.1151; train accuracy: 0.2308; best accuracy: 0.2308; validation F1-score: 0.1684
--> Epoch 6: train loss 0.9626; validation loss 1.1102; train accuracy: 0.2308; best accuracy: 0.2308; validation F1-score: 0.1684
--> Epoch 7: train loss 0.9409; validation loss 1.1063; train accuracy: 0.2308; best accuracy: 0.2308; validation F1-score: 0.1684
--> Epoch 8: train loss 0.9211; validation loss 1.1029; train accuracy: 0.2692; best accuracy: 0.2692; validation F1-score: 0.1789
--> Epoch 9: train loss 0.9028; validation loss 1.1001; train accuracy: 0.4231; best accuracy: 0.4231; validation F1-score: 0.2000
--> Epoch 10: train loss 0.8859; validation loss 1.0976; train accuracy: 0.5000; best accuracy: 0.5000; validation F1-score: 0.2105
--> Epoch 11: train loss 0.8706; validation loss 1.0953; train accuracy: 0.5769; best accuracy: 0.5769; validation F1-score: 0.2211
--> Epoch 12: train loss 0.8563; validation loss 1.0932; train accuracy: 0.5769; best accuracy: 0.5769; validation F1-score: 0.2526
--> Epoch 13: train loss 0.8429; validation loss 1.0913; train accuracy: 0.5385; best accuracy: 0.5769; validation F1-score: 0.2526
--> Epoch 14: train loss 0.8302; validation loss 1.0895; train accuracy: 0.5385; best accuracy: 0.5769; validation F1-score: 0.2526
--> Epoch 15: train loss 0.8181; validation loss 1.0876; train accuracy: 0.5385; best accuracy: 0.5769; validation F1-score: 0.2632
--> Epoch 16: train loss 0.8068; validation loss 1.0853; train accuracy: 0.5769; best accuracy: 0.5769; validation F1-score: 0.3053
--> Epoch 17: train loss 0.7962; validation loss 1.0822; train accuracy: 0.5769; best accuracy: 0.5769; validation F1-score: 0.3263
--> Epoch 18: train loss 0.7860; validation loss 1.0786; train accuracy: 0.6538; best accuracy: 0.6538; validation F1-score: 0.3368
--> Epoch 19: train loss 0.7760; validation loss 1.0743; train accuracy: 0.6154; best accuracy: 0.6538; validation F1-score: 0.3684
--> Epoch 20: train loss 0.7660; validation loss 1.0696; train accuracy: 0.6154; best accuracy: 0.6538; validation F1-score: 0.4105
--> Epoch 21: train loss 0.7562; validation loss 1.0643; train accuracy: 0.6538; best accuracy: 0.6538; validation F1-score: 0.4526
--> Epoch 22: train loss 0.7466; validation loss 1.0586; train accuracy: 0.6538; best accuracy: 0.6538; validation F1-score: 0.4632
--> Epoch 23: train loss 0.7373; validation loss 1.0528; train accuracy: 0.6923; best accuracy: 0.6923; validation F1-score: 0.4842
--> Epoch 24: train loss 0.7282; validation loss 1.0470; train accuracy: 0.7308; best accuracy: 0.7308; validation F1-score: 0.5158
--> Epoch 25: train loss 0.7193; validation loss 1.0409; train accuracy: 0.7308; best accuracy: 0.7308; validation F1-score: 0.4947
--> Epoch 26: train loss 0.7106; validation loss 1.0344; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.5263
--> Epoch 27: train loss 0.7020; validation loss 1.0281; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.5263
--> Epoch 28: train loss 0.6934; validation loss 1.0223; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.5474
--> Epoch 29: train loss 0.6850; validation loss 1.0171; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.5474
--> Epoch 30: train loss 0.6767; validation loss 1.0126; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.5158
--> Epoch 31: train loss 0.6684; validation loss 1.0085; train accuracy: 0.7308; best accuracy: 0.7692; validation F1-score: 0.5158
--> Epoch 32: train loss 0.6602; validation loss 1.0043; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.5263
--> Epoch 33: train loss 0.6520; validation loss 0.9995; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.5263
--> Epoch 34: train loss 0.6439; validation loss 0.9946; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.5579
--> Epoch 35: train loss 0.6358; validation loss 0.9897; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.5579
--> Epoch 36: train loss 0.6278; validation loss 0.9860; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.5579
--> Epoch 37: train loss 0.6198; validation loss 0.9835; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.5474
--> Epoch 38: train loss 0.6116; validation loss 0.9816; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.5474
--> Epoch 39: train loss 0.6034; validation loss 0.9798; train accuracy: 0.8077; best accuracy: 0.8077; validation F1-score: 0.5474
--> Epoch 40: train loss 0.5953; validation loss 0.9775; train accuracy: 0.8077; best accuracy: 0.8077; validation F1-score: 0.5368
--> Epoch 41: train loss 0.5873; validation loss 0.9750; train accuracy: 0.8077; best accuracy: 0.8077; validation F1-score: 0.5474
--> Epoch 42: train loss 0.5793; validation loss 0.9729; train accuracy: 0.8077; best accuracy: 0.8077; validation F1-score: 0.5684
--> Epoch 43: train loss 0.5713; validation loss 0.9718; train accuracy: 0.8077; best accuracy: 0.8077; validation F1-score: 0.5684
--> Epoch 44: train loss 0.5633; validation loss 0.9711; train accuracy: 0.8077; best accuracy: 0.8077; validation F1-score: 0.5789
--> Epoch 45: train loss 0.5554; validation loss 0.9709; train accuracy: 0.8462; best accuracy: 0.8462; validation F1-score: 0.5789
--> Epoch 46: train loss 0.5476; validation loss 0.9712; train accuracy: 0.8462; best accuracy: 0.8462; validation F1-score: 0.5684
--> Epoch 47: train loss 0.5398; validation loss 0.9715; train accuracy: 0.8462; best accuracy: 0.8462; validation F1-score: 0.5474
--> Epoch 48: train loss 0.5320; validation loss 0.9722; train accuracy: 0.8462; best accuracy: 0.8462; validation F1-score: 0.5368
--> Epoch 49: train loss 0.5243; validation loss 0.9742; train accuracy: 0.8462; best accuracy: 0.8462; validation F1-score: 0.5368
--> Epoch 50: train loss 0.5166; validation loss 0.9746; train accuracy: 0.8462; best accuracy: 0.8462; validation F1-score: 0.5263
--> Epoch 51: train loss 0.5089; validation loss 0.9775; train accuracy: 0.8462; best accuracy: 0.8462; validation F1-score: 0.5368
--> Epoch 52: train loss 0.5013; validation loss 0.9824; train accuracy: 0.8462; best accuracy: 0.8462; validation F1-score: 0.5053
--> Epoch 53: train loss 0.4937; validation loss 0.9833; train accuracy: 0.8462; best accuracy: 0.8462; validation F1-score: 0.5053
--> Epoch 54: train loss 0.4859; validation loss 0.9823; train accuracy: 0.9231; best accuracy: 0.9231; validation F1-score: 0.5053
--> Epoch 55: train loss 0.4781; validation loss 0.9872; train accuracy: 0.8846; best accuracy: 0.9231; validation F1-score: 0.4947
--> AHU_Winter_Nov22Mar23 Test Accuracy: 0.3774
0.37735849056603776
