--> Epoch 0: train loss 0.7147; validation loss 0.6268; train accuracy: 0.6154; best accuracy: 0.6154; validation F1-score: 0.7053
--> Epoch 1: train loss 0.6470; validation loss 0.6335; train accuracy: 0.6154; best accuracy: 0.6154; validation F1-score: 0.7053
--> Epoch 2: train loss 0.5936; validation loss 0.6375; train accuracy: 0.6154; best accuracy: 0.6154; validation F1-score: 0.7053
--> Epoch 3: train loss 0.5528; validation loss 0.6402; train accuracy: 0.6154; best accuracy: 0.6154; validation F1-score: 0.7158
--> Epoch 4: train loss 0.5198; validation loss 0.6427; train accuracy: 0.6154; best accuracy: 0.6154; validation F1-score: 0.7158
--> Epoch 5: train loss 0.4939; validation loss 0.6444; train accuracy: 0.6154; best accuracy: 0.6154; validation F1-score: 0.7263
--> Epoch 6: train loss 0.4728; validation loss 0.6451; train accuracy: 0.6538; best accuracy: 0.6538; validation F1-score: 0.7263
--> Epoch 7: train loss 0.4551; validation loss 0.6447; train accuracy: 0.6538; best accuracy: 0.6538; validation F1-score: 0.7263
--> Epoch 8: train loss 0.4396; validation loss 0.6433; train accuracy: 0.6538; best accuracy: 0.6538; validation F1-score: 0.7263
--> Epoch 9: train loss 0.4265; validation loss 0.6410; train accuracy: 0.6154; best accuracy: 0.6538; validation F1-score: 0.7263
--> Epoch 10: train loss 0.4148; validation loss 0.6381; train accuracy: 0.6154; best accuracy: 0.6538; validation F1-score: 0.7263
--> Epoch 11: train loss 0.4039; validation loss 0.6345; train accuracy: 0.6154; best accuracy: 0.6538; validation F1-score: 0.7158
--> Epoch 12: train loss 0.3934; validation loss 0.6302; train accuracy: 0.6154; best accuracy: 0.6538; validation F1-score: 0.7053
--> Epoch 13: train loss 0.3831; validation loss 0.6255; train accuracy: 0.6154; best accuracy: 0.6538; validation F1-score: 0.7053
--> Epoch 14: train loss 0.3736; validation loss 0.6203; train accuracy: 0.6154; best accuracy: 0.6538; validation F1-score: 0.7053
--> Epoch 15: train loss 0.3643; validation loss 0.6146; train accuracy: 0.6154; best accuracy: 0.6538; validation F1-score: 0.7158
--> Epoch 16: train loss 0.3554; validation loss 0.6084; train accuracy: 0.7308; best accuracy: 0.7308; validation F1-score: 0.7263
--> Epoch 17: train loss 0.3468; validation loss 0.6017; train accuracy: 0.7308; best accuracy: 0.7308; validation F1-score: 0.7368
--> Epoch 18: train loss 0.3384; validation loss 0.5943; train accuracy: 0.7308; best accuracy: 0.7308; validation F1-score: 0.7368
--> Epoch 19: train loss 0.3301; validation loss 0.5866; train accuracy: 0.7308; best accuracy: 0.7308; validation F1-score: 0.7368
--> Epoch 20: train loss 0.3216; validation loss 0.5784; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.7368
--> Epoch 21: train loss 0.3130; validation loss 0.5700; train accuracy: 0.7692; best accuracy: 0.7692; validation F1-score: 0.7263
--> Epoch 22: train loss 0.3047; validation loss 0.5616; train accuracy: 0.8077; best accuracy: 0.8077; validation F1-score: 0.7263
--> Epoch 23: train loss 0.2965; validation loss 0.5534; train accuracy: 0.8462; best accuracy: 0.8462; validation F1-score: 0.7263
--> Epoch 24: train loss 0.2886; validation loss 0.5453; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7474
--> Epoch 25: train loss 0.2808; validation loss 0.5375; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7368
--> Epoch 26: train loss 0.2732; validation loss 0.5299; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7474
--> Epoch 27: train loss 0.2654; validation loss 0.5228; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7474
--> Epoch 28: train loss 0.2574; validation loss 0.5164; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7789
--> Epoch 29: train loss 0.2495; validation loss 0.5107; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7789
--> Epoch 30: train loss 0.2419; validation loss 0.5063; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7789
--> Epoch 31: train loss 0.2346; validation loss 0.5029; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7789
--> Epoch 32: train loss 0.2272; validation loss 0.5006; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7789
--> Epoch 33: train loss 0.2200; validation loss 0.4994; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7789
--> Epoch 34: train loss 0.2129; validation loss 0.4993; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7789
--> Epoch 35: train loss 0.2061; validation loss 0.4993; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7789
--> Epoch 36: train loss 0.1993; validation loss 0.4993; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7895
--> Epoch 37: train loss 0.1923; validation loss 0.4983; train accuracy: 0.8846; best accuracy: 0.8846; validation F1-score: 0.7895
--> Epoch 38: train loss 0.1854; validation loss 0.4966; train accuracy: 0.9231; best accuracy: 0.9231; validation F1-score: 0.7895
--> Epoch 39: train loss 0.1792; validation loss 0.4955; train accuracy: 0.9231; best accuracy: 0.9231; validation F1-score: 0.8000
--> Epoch 40: train loss 0.1730; validation loss 0.4950; train accuracy: 0.9231; best accuracy: 0.9231; validation F1-score: 0.8211
--> Epoch 41: train loss 0.1667; validation loss 0.4951; train accuracy: 0.9231; best accuracy: 0.9231; validation F1-score: 0.8421
--> Epoch 42: train loss 0.1604; validation loss 0.4954; train accuracy: 0.9615; best accuracy: 0.9615; validation F1-score: 0.8421
--> Epoch 43: train loss 0.1545; validation loss 0.4952; train accuracy: 0.9615; best accuracy: 0.9615; validation F1-score: 0.8421
--> Epoch 44: train loss 0.1484; validation loss 0.4947; train accuracy: 0.9615; best accuracy: 0.9615; validation F1-score: 0.8421
--> Epoch 45: train loss 0.1425; validation loss 0.4943; train accuracy: 0.9615; best accuracy: 0.9615; validation F1-score: 0.8421
--> Epoch 46: train loss 0.1369; validation loss 0.4950; train accuracy: 0.9615; best accuracy: 0.9615; validation F1-score: 0.8421
--> Epoch 47: train loss 0.1315; validation loss 0.4958; train accuracy: 0.9615; best accuracy: 0.9615; validation F1-score: 0.8421
--> Epoch 48: train loss 0.1264; validation loss 0.4951; train accuracy: 0.9615; best accuracy: 0.9615; validation F1-score: 0.8632
--> Epoch 49: train loss 0.1214; validation loss 0.4918; train accuracy: 0.9615; best accuracy: 0.9615; validation F1-score: 0.8526
--> Epoch 50: train loss 0.1164; validation loss 0.4877; train accuracy: 0.9615; best accuracy: 0.9615; validation F1-score: 0.8526
--> Epoch 51: train loss 0.1117; validation loss 0.4854; train accuracy: 0.9615; best accuracy: 0.9615; validation F1-score: 0.8526
--> Epoch 52: train loss 0.1072; validation loss 0.4846; train accuracy: 0.9615; best accuracy: 0.9615; validation F1-score: 0.8632
--> Epoch 53: train loss 0.1031; validation loss 0.4827; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8632
--> Epoch 54: train loss 0.0993; validation loss 0.4785; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8632
--> Epoch 55: train loss 0.0956; validation loss 0.4755; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8632
--> Epoch 56: train loss 0.0920; validation loss 0.4753; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8632
--> Epoch 57: train loss 0.0885; validation loss 0.4766; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8632
--> Epoch 58: train loss 0.0853; validation loss 0.4773; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8632
--> Epoch 59: train loss 0.0823; validation loss 0.4765; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8632
--> Epoch 60: train loss 0.0795; validation loss 0.4762; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8737
--> Epoch 61: train loss 0.0767; validation loss 0.4765; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8737
--> Epoch 62: train loss 0.0741; validation loss 0.4759; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8737
--> Epoch 63: train loss 0.0717; validation loss 0.4742; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8737
--> Epoch 64: train loss 0.0694; validation loss 0.4725; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8526
--> Epoch 65: train loss 0.0673; validation loss 0.4732; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8526
--> Epoch 66: train loss 0.0651; validation loss 0.4737; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8526
--> Epoch 67: train loss 0.0631; validation loss 0.4724; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8526
--> Epoch 68: train loss 0.0610; validation loss 0.4737; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8526
--> Epoch 69: train loss 0.0593; validation loss 0.4745; train accuracy: 1.0000; best accuracy: 1.0000; validation F1-score: 0.8526
