--> Epoch 0: train loss 1.3802; validation loss 1.4615; train accuracy: 0.1471; best accuracy: 0.1471; validation F1-score: 0.1016
--> Epoch 1: train loss 1.3283; validation loss 1.4565; train accuracy: 0.1471; best accuracy: 0.1471; validation F1-score: 0.1328
--> Epoch 2: train loss 1.2879; validation loss 1.4505; train accuracy: 0.1471; best accuracy: 0.1471; validation F1-score: 0.1328
--> Epoch 3: train loss 1.2530; validation loss 1.4437; train accuracy: 0.1471; best accuracy: 0.1471; validation F1-score: 0.1016
--> Epoch 4: train loss 1.2233; validation loss 1.4361; train accuracy: 0.1176; best accuracy: 0.1471; validation F1-score: 0.1094
--> Epoch 5: train loss 1.1975; validation loss 1.4286; train accuracy: 0.1176; best accuracy: 0.1471; validation F1-score: 0.1016
--> Epoch 6: train loss 1.1746; validation loss 1.4207; train accuracy: 0.1471; best accuracy: 0.1471; validation F1-score: 0.0938
--> Epoch 7: train loss 1.1532; validation loss 1.4127; train accuracy: 0.1471; best accuracy: 0.1471; validation F1-score: 0.1016
--> Epoch 8: train loss 1.1334; validation loss 1.4047; train accuracy: 0.1471; best accuracy: 0.1471; validation F1-score: 0.1016
--> Epoch 9: train loss 1.1145; validation loss 1.3974; train accuracy: 0.1471; best accuracy: 0.1471; validation F1-score: 0.1016
--> Epoch 10: train loss 1.0958; validation loss 1.3906; train accuracy: 0.1471; best accuracy: 0.1471; validation F1-score: 0.1016
--> Epoch 11: train loss 1.0779; validation loss 1.3840; train accuracy: 0.1471; best accuracy: 0.1471; validation F1-score: 0.1016
--> Epoch 12: train loss 1.0610; validation loss 1.3772; train accuracy: 0.1176; best accuracy: 0.1471; validation F1-score: 0.0781
--> Epoch 13: train loss 1.0440; validation loss 1.3703; train accuracy: 0.2353; best accuracy: 0.2353; validation F1-score: 0.2734
--> Epoch 14: train loss 1.0272; validation loss 1.3634; train accuracy: 0.4412; best accuracy: 0.4412; validation F1-score: 0.4922
--> Epoch 15: train loss 1.0106; validation loss 1.3565; train accuracy: 0.4706; best accuracy: 0.4706; validation F1-score: 0.5234
--> Epoch 16: train loss 0.9944; validation loss 1.3494; train accuracy: 0.5294; best accuracy: 0.5294; validation F1-score: 0.5312
--> Epoch 17: train loss 0.9789; validation loss 1.3414; train accuracy: 0.5294; best accuracy: 0.5294; validation F1-score: 0.5312
--> Epoch 18: train loss 0.9642; validation loss 1.3324; train accuracy: 0.5294; best accuracy: 0.5294; validation F1-score: 0.5391
--> Epoch 19: train loss 0.9502; validation loss 1.3229; train accuracy: 0.5294; best accuracy: 0.5294; validation F1-score: 0.5781
--> Epoch 20: train loss 0.9358; validation loss 1.3131; train accuracy: 0.5588; best accuracy: 0.5588; validation F1-score: 0.5781
--> Epoch 21: train loss 0.9213; validation loss 1.3032; train accuracy: 0.5882; best accuracy: 0.5882; validation F1-score: 0.5781
--> Epoch 22: train loss 0.9074; validation loss 1.2927; train accuracy: 0.5882; best accuracy: 0.5882; validation F1-score: 0.5859
--> Epoch 23: train loss 0.8937; validation loss 1.2822; train accuracy: 0.5882; best accuracy: 0.5882; validation F1-score: 0.5859
--> Epoch 24: train loss 0.8801; validation loss 1.2713; train accuracy: 0.5882; best accuracy: 0.5882; validation F1-score: 0.5781
--> Epoch 25: train loss 0.8666; validation loss 1.2601; train accuracy: 0.5882; best accuracy: 0.5882; validation F1-score: 0.5781
--> Epoch 26: train loss 0.8528; validation loss 1.2479; train accuracy: 0.5882; best accuracy: 0.5882; validation F1-score: 0.5859
--> Epoch 27: train loss 0.8387; validation loss 1.2362; train accuracy: 0.5882; best accuracy: 0.5882; validation F1-score: 0.5938
--> Epoch 28: train loss 0.8251; validation loss 1.2246; train accuracy: 0.6176; best accuracy: 0.6176; validation F1-score: 0.5938
--> Epoch 29: train loss 0.8116; validation loss 1.2140; train accuracy: 0.6176; best accuracy: 0.6176; validation F1-score: 0.5938
--> Epoch 30: train loss 0.7978; validation loss 1.2040; train accuracy: 0.6471; best accuracy: 0.6471; validation F1-score: 0.6016
--> Epoch 31: train loss 0.7845; validation loss 1.1930; train accuracy: 0.6471; best accuracy: 0.6471; validation F1-score: 0.6016
