--> Epoch 0: train loss 1.3801; validation loss 2.8945; train accuracy: 0.1587; best accuracy: 0.1587; validation F1-score: 0.0901
--> Epoch 1: train loss 1.3335; validation loss 2.8909; train accuracy: 0.1746; best accuracy: 0.1746; validation F1-score: 0.1202
--> Epoch 2: train loss 1.2959; validation loss 2.8832; train accuracy: 0.1746; best accuracy: 0.1746; validation F1-score: 0.1202
--> Epoch 3: train loss 1.2651; validation loss 2.8711; train accuracy: 0.1587; best accuracy: 0.1746; validation F1-score: 0.0944
--> Epoch 4: train loss 1.2397; validation loss 2.8553; train accuracy: 0.1587; best accuracy: 0.1746; validation F1-score: 0.0944
--> Epoch 5: train loss 1.2171; validation loss 2.8445; train accuracy: 0.1270; best accuracy: 0.1746; validation F1-score: 0.0944
--> Epoch 6: train loss 1.1963; validation loss 2.8314; train accuracy: 0.1111; best accuracy: 0.1746; validation F1-score: 0.0901
--> Epoch 7: train loss 1.1766; validation loss 2.8189; train accuracy: 0.1111; best accuracy: 0.1746; validation F1-score: 0.0901
--> Epoch 8: train loss 1.1581; validation loss 2.8074; train accuracy: 0.1270; best accuracy: 0.1746; validation F1-score: 0.0944
--> Epoch 9: train loss 1.1412; validation loss 2.7955; train accuracy: 0.1111; best accuracy: 0.1746; validation F1-score: 0.1073
--> Epoch 10: train loss 1.1252; validation loss 2.7833; train accuracy: 0.1270; best accuracy: 0.1746; validation F1-score: 0.1073
--> Epoch 11: train loss 1.1100; validation loss 2.7728; train accuracy: 0.1429; best accuracy: 0.1746; validation F1-score: 0.1116
--> Epoch 12: train loss 1.0957; validation loss 2.7612; train accuracy: 0.2857; best accuracy: 0.2857; validation F1-score: 0.1373
--> Epoch 13: train loss 1.0821; validation loss 2.7509; train accuracy: 0.5714; best accuracy: 0.5714; validation F1-score: 0.4506
--> Epoch 14: train loss 1.0692; validation loss 2.7383; train accuracy: 0.5873; best accuracy: 0.5873; validation F1-score: 0.4807
--> Epoch 15: train loss 1.0566; validation loss 2.7268; train accuracy: 0.6032; best accuracy: 0.6032; validation F1-score: 0.4936
--> Epoch 16: train loss 1.0442; validation loss 2.7141; train accuracy: 0.5873; best accuracy: 0.6032; validation F1-score: 0.4936
--> Epoch 17: train loss 1.0319; validation loss 2.7026; train accuracy: 0.5873; best accuracy: 0.6032; validation F1-score: 0.4979
--> Epoch 18: train loss 1.0201; validation loss 2.6933; train accuracy: 0.6032; best accuracy: 0.6032; validation F1-score: 0.5107
--> Epoch 19: train loss 1.0085; validation loss 2.6784; train accuracy: 0.6032; best accuracy: 0.6032; validation F1-score: 0.5107
--> Epoch 20: train loss 0.9972; validation loss 2.6708; train accuracy: 0.6032; best accuracy: 0.6032; validation F1-score: 0.4979
--> Epoch 21: train loss 0.9858; validation loss 2.6545; train accuracy: 0.6032; best accuracy: 0.6032; validation F1-score: 0.4979
