--> Epoch 0: train loss 1.7734; validation loss 1.8321; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 1: train loss 1.7029; validation loss 1.8334; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 2: train loss 1.6466; validation loss 1.8340; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 3: train loss 1.6048; validation loss 1.8321; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 4: train loss 1.5688; validation loss 1.8297; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 5: train loss 1.5359; validation loss 1.8280; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 6: train loss 1.5052; validation loss 1.8264; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 7: train loss 1.4774; validation loss 1.8247; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 8: train loss 1.4525; validation loss 1.8230; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 9: train loss 1.4289; validation loss 1.8213; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 10: train loss 1.4064; validation loss 1.8189; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 11: train loss 1.3851; validation loss 1.8160; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 12: train loss 1.3652; validation loss 1.8128; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 13: train loss 1.3459; validation loss 1.8089; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 14: train loss 1.3280; validation loss 1.8046; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 15: train loss 1.3108; validation loss 1.7999; train accuracy: 0.0536; best accuracy: 0.0536; validation F1-score: 0.2727
--> Epoch 16: train loss 1.2946; validation loss 1.7949; train accuracy: 0.0893; best accuracy: 0.0893; validation F1-score: 0.2727
--> Epoch 17: train loss 1.2795; validation loss 1.7897; train accuracy: 0.1250; best accuracy: 0.1250; validation F1-score: 0.2727
--> Epoch 18: train loss 1.2644; validation loss 1.7848; train accuracy: 0.1429; best accuracy: 0.1429; validation F1-score: 0.2727
--> Epoch 19: train loss 1.2497; validation loss 1.7802; train accuracy: 0.2321; best accuracy: 0.2321; validation F1-score: 0.2727
--> Epoch 20: train loss 1.2352; validation loss 1.7755; train accuracy: 0.2679; best accuracy: 0.2679; validation F1-score: 0.2727
--> Epoch 21: train loss 1.2213; validation loss 1.7700; train accuracy: 0.3214; best accuracy: 0.3214; validation F1-score: 0.2727
--> Epoch 22: train loss 1.2079; validation loss 1.7641; train accuracy: 0.3214; best accuracy: 0.3214; validation F1-score: 0.2727
--> Epoch 23: train loss 1.1951; validation loss 1.7575; train accuracy: 0.5000; best accuracy: 0.5000; validation F1-score: 0.2727
--> Epoch 24: train loss 1.1829; validation loss 1.7501; train accuracy: 0.5357; best accuracy: 0.5357; validation F1-score: 0.2727
--> Epoch 25: train loss 1.1710; validation loss 1.7419; train accuracy: 0.5357; best accuracy: 0.5357; validation F1-score: 0.3182
--> Epoch 26: train loss 1.1592; validation loss 1.7328; train accuracy: 0.5536; best accuracy: 0.5536; validation F1-score: 0.4091
--> Epoch 27: train loss 1.1476; validation loss 1.7223; train accuracy: 0.5714; best accuracy: 0.5714; validation F1-score: 0.4091
--> Epoch 28: train loss 1.1363; validation loss 1.7106; train accuracy: 0.5893; best accuracy: 0.5893; validation F1-score: 0.4091
--> Epoch 29: train loss 1.1254; validation loss 1.6980; train accuracy: 0.5893; best accuracy: 0.5893; validation F1-score: 0.4091
--> Epoch 30: train loss 1.1148; validation loss 1.6851; train accuracy: 0.5893; best accuracy: 0.5893; validation F1-score: 0.3636
--> Epoch 31: train loss 1.1045; validation loss 1.6715; train accuracy: 0.5893; best accuracy: 0.5893; validation F1-score: 0.3636
--> Epoch 32: train loss 1.0946; validation loss 1.6576; train accuracy: 0.6071; best accuracy: 0.6071; validation F1-score: 0.3636
--> Epoch 33: train loss 1.0846; validation loss 1.6442; train accuracy: 0.6071; best accuracy: 0.6071; validation F1-score: 0.2727
--> Epoch 34: train loss 1.0748; validation loss 1.6313; train accuracy: 0.6071; best accuracy: 0.6071; validation F1-score: 0.2727
--> Epoch 35: train loss 1.0653; validation loss 1.6188; train accuracy: 0.6429; best accuracy: 0.6429; validation F1-score: 0.3636
--> Epoch 36: train loss 1.0558; validation loss 1.6070; train accuracy: 0.6429; best accuracy: 0.6429; validation F1-score: 0.3636
--> Epoch 37: train loss 1.0465; validation loss 1.5958; train accuracy: 0.6429; best accuracy: 0.6429; validation F1-score: 0.4091
--> Epoch 38: train loss 1.0371; validation loss 1.5855; train accuracy: 0.6429; best accuracy: 0.6429; validation F1-score: 0.4091
--> Epoch 39: train loss 1.0277; validation loss 1.5760; train accuracy: 0.6429; best accuracy: 0.6429; validation F1-score: 0.3636
--> Epoch 40: train loss 1.0182; validation loss 1.5670; train accuracy: 0.6607; best accuracy: 0.6607; validation F1-score: 0.3182
--> Epoch 41: train loss 1.0090; validation loss 1.5584; train accuracy: 0.6786; best accuracy: 0.6786; validation F1-score: 0.3182
--> Epoch 42: train loss 1.0000; validation loss 1.5499; train accuracy: 0.6607; best accuracy: 0.6786; validation F1-score: 0.3182
--> Epoch 43: train loss 0.9913; validation loss 1.5415; train accuracy: 0.6607; best accuracy: 0.6786; validation F1-score: 0.3182
