--> Epoch 0: loss 2.2561; accuracy: 0.0944; best accuracy: 0.0944
--> Epoch 1: loss 2.1737; accuracy: 0.0889; best accuracy: 0.0944
--> Epoch 2: loss 2.2178; accuracy: 0.0778; best accuracy: 0.0944
--> Epoch 3: loss 2.1251; accuracy: 0.0778; best accuracy: 0.0944
--> Epoch 4: loss 2.1567; accuracy: 0.0778; best accuracy: 0.0944
--> Epoch 5: loss 2.0605; accuracy: 0.0889; best accuracy: 0.0944
--> Epoch 6: loss 2.0451; accuracy: 0.1000; best accuracy: 0.1000
--> Epoch 7: loss 2.0461; accuracy: 0.1444; best accuracy: 0.1444
--> Epoch 8: loss 1.9795; accuracy: 0.1444; best accuracy: 0.1444
--> Epoch 9: loss 2.0297; accuracy: 0.1389; best accuracy: 0.1444
--> Epoch 10: loss 1.9665; accuracy: 0.1444; best accuracy: 0.1444
--> Epoch 11: loss 2.0190; accuracy: 0.1667; best accuracy: 0.1667
--> Epoch 12: loss 1.9983; accuracy: 0.1667; best accuracy: 0.1667
--> Epoch 13: loss 2.0102; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 14: loss 1.9952; accuracy: 0.2611; best accuracy: 0.2611
--> Epoch 15: loss 2.0084; accuracy: 0.2611; best accuracy: 0.2611
--> Epoch 16: loss 1.8861; accuracy: 0.2611; best accuracy: 0.2611
--> Epoch 17: loss 1.9183; accuracy: 0.2611; best accuracy: 0.2611
--> Epoch 18: loss 1.8600; accuracy: 0.2944; best accuracy: 0.2944
--> Epoch 19: loss 1.8811; accuracy: 0.2889; best accuracy: 0.2944
--> Epoch 20: loss 1.8883; accuracy: 0.3000; best accuracy: 0.3000
--> Epoch 21: loss 1.9195; accuracy: 0.3056; best accuracy: 0.3056
--> Epoch 22: loss 1.8466; accuracy: 0.3167; best accuracy: 0.3167
--> Epoch 23: loss 1.8616; accuracy: 0.3278; best accuracy: 0.3278
--> Epoch 24: loss 1.8496; accuracy: 0.3444; best accuracy: 0.3444
--> Epoch 25: loss 1.9236; accuracy: 0.3500; best accuracy: 0.3500
--> Epoch 26: loss 1.8047; accuracy: 0.3611; best accuracy: 0.3611
--> Epoch 27: loss 1.7431; accuracy: 0.3722; best accuracy: 0.3722
--> Epoch 28: loss 1.7481; accuracy: 0.3667; best accuracy: 0.3722
--> Epoch 29: loss 1.7808; accuracy: 0.3833; best accuracy: 0.3833
--> Epoch 30: loss 1.9034; accuracy: 0.3778; best accuracy: 0.3833
--> Epoch 31: loss 1.8118; accuracy: 0.3833; best accuracy: 0.3833
--> Epoch 32: loss 1.7687; accuracy: 0.3889; best accuracy: 0.3889
--> Epoch 33: loss 1.7833; accuracy: 0.4056; best accuracy: 0.4056
--> Epoch 34: loss 1.7239; accuracy: 0.4278; best accuracy: 0.4278
--> Epoch 35: loss 1.7168; accuracy: 0.4111; best accuracy: 0.4278
--> Epoch 36: loss 1.7274; accuracy: 0.4167; best accuracy: 0.4278
--> Epoch 37: loss 1.7509; accuracy: 0.4222; best accuracy: 0.4278
--> Epoch 38: loss 1.7492; accuracy: 0.4222; best accuracy: 0.4278
--> Epoch 39: loss 1.7408; accuracy: 0.4333; best accuracy: 0.4333
--> Epoch 40: loss 1.7051; accuracy: 0.4222; best accuracy: 0.4333
--> Epoch 41: loss 1.6706; accuracy: 0.4000; best accuracy: 0.4333
--> Epoch 42: loss 1.6982; accuracy: 0.4167; best accuracy: 0.4333
--> Epoch 43: loss 1.6092; accuracy: 0.4444; best accuracy: 0.4444
--> Epoch 44: loss 1.6359; accuracy: 0.4667; best accuracy: 0.4667
--> Epoch 45: loss 1.6984; accuracy: 0.4222; best accuracy: 0.4667
--> Epoch 46: loss 1.6454; accuracy: 0.4222; best accuracy: 0.4667
--> Epoch 47: loss 1.6359; accuracy: 0.4333; best accuracy: 0.4667
--> Epoch 48: loss 1.7142; accuracy: 0.4389; best accuracy: 0.4667
--> Epoch 49: loss 1.7349; accuracy: 0.4278; best accuracy: 0.4667
--> Epoch 50: loss 1.6395; accuracy: 0.4444; best accuracy: 0.4667
--> Epoch 51: loss 1.5482; accuracy: 0.4611; best accuracy: 0.4667
--> Epoch 52: loss 1.5863; accuracy: 0.4667; best accuracy: 0.4667
