--> Epoch 0: loss 2.1838; accuracy: 0.0343; best accuracy: 0.0343
--> Epoch 1: loss 2.0939; accuracy: 0.1231; best accuracy: 0.1231
--> Epoch 2: loss 2.0782; accuracy: 0.2045; best accuracy: 0.2045
--> Epoch 3: loss 1.8430; accuracy: 0.3191; best accuracy: 0.3191
--> Epoch 4: loss 1.8818; accuracy: 0.3683; best accuracy: 0.3683
--> Epoch 5: loss 1.8034; accuracy: 0.4036; best accuracy: 0.4036
--> Epoch 6: loss 1.7750; accuracy: 0.4176; best accuracy: 0.4176
--> Epoch 7: loss 1.6175; accuracy: 0.4197; best accuracy: 0.4197
--> Epoch 8: loss 1.7306; accuracy: 0.4272; best accuracy: 0.4272
--> Epoch 9: loss 1.5621; accuracy: 0.4079; best accuracy: 0.4272
--> Epoch 10: loss 1.6808; accuracy: 0.4593; best accuracy: 0.4593
--> Epoch 11: loss 1.7794; accuracy: 0.4593; best accuracy: 0.4593
--> Epoch 12: loss 1.4568; accuracy: 0.4786; best accuracy: 0.4786
--> Epoch 13: loss 1.7517; accuracy: 0.4593; best accuracy: 0.4786
--> Epoch 14: loss 1.4748; accuracy: 0.4176; best accuracy: 0.4786
--> Epoch 15: loss 1.6254; accuracy: 0.4818; best accuracy: 0.4818
--> Epoch 16: loss 1.4972; accuracy: 0.4743; best accuracy: 0.4818
--> Epoch 17: loss 1.4389; accuracy: 0.4325; best accuracy: 0.4818
--> Epoch 18: loss 1.4567; accuracy: 0.4872; best accuracy: 0.4872
--> Epoch 19: loss 1.4049; accuracy: 0.4989; best accuracy: 0.4989
--> Epoch 20: loss 1.4089; accuracy: 0.4390; best accuracy: 0.4989
--> Epoch 21: loss 1.1875; accuracy: 0.4989; best accuracy: 0.4989
--> Epoch 22: loss 1.7835; accuracy: 0.4422; best accuracy: 0.4989
--> Epoch 23: loss 1.3161; accuracy: 0.5054; best accuracy: 0.5054
--> Epoch 24: loss 1.4269; accuracy: 0.5086; best accuracy: 0.5086
--> Epoch 25: loss 1.6444; accuracy: 0.4925; best accuracy: 0.5086
--> Epoch 26: loss 1.5313; accuracy: 0.5182; best accuracy: 0.5182
--> Epoch 27: loss 1.3081; accuracy: 0.4957; best accuracy: 0.5182
--> Epoch 28: loss 1.6012; accuracy: 0.4582; best accuracy: 0.5182
--> Epoch 29: loss 1.3921; accuracy: 0.5225; best accuracy: 0.5225
--> Epoch 30: loss 1.4491; accuracy: 0.5171; best accuracy: 0.5225
--> Epoch 31: loss 1.4735; accuracy: 0.5300; best accuracy: 0.5300
--> Epoch 32: loss 1.4687; accuracy: 0.5257; best accuracy: 0.5300
--> Epoch 33: loss 1.1885; accuracy: 0.5278; best accuracy: 0.5300
--> Epoch 34: loss 1.3547; accuracy: 0.5332; best accuracy: 0.5332
--> Epoch 35: loss 1.3512; accuracy: 0.5332; best accuracy: 0.5332
--> Epoch 36: loss 1.3627; accuracy: 0.5161; best accuracy: 0.5332
--> Epoch 37: loss 1.4149; accuracy: 0.4743; best accuracy: 0.5332
--> Epoch 38: loss 1.2973; accuracy: 0.5450; best accuracy: 0.5450
--> Epoch 39: loss 1.4509; accuracy: 0.4561; best accuracy: 0.5450
--> Epoch 40: loss 1.3965; accuracy: 0.5460; best accuracy: 0.5460
--> Epoch 41: loss 1.5666; accuracy: 0.4904; best accuracy: 0.5460
--> Epoch 42: loss 1.1791; accuracy: 0.5289; best accuracy: 0.5460
--> Epoch 43: loss 1.3144; accuracy: 0.5268; best accuracy: 0.5460
--> Epoch 44: loss 1.4432; accuracy: 0.5064; best accuracy: 0.5460
--> Epoch 45: loss 1.4837; accuracy: 0.5375; best accuracy: 0.5460
--> Epoch 46: loss 1.4792; accuracy: 0.5503; best accuracy: 0.5503
--> Epoch 47: loss 1.2511; accuracy: 0.5300; best accuracy: 0.5503
--> Epoch 48: loss 1.3655; accuracy: 0.5310; best accuracy: 0.5503
--> Epoch 49: loss 1.2654; accuracy: 0.5086; best accuracy: 0.5503
--> Epoch 50: loss 1.1138; accuracy: 0.5503; best accuracy: 0.5503
--> Epoch 51: loss 1.2160; accuracy: 0.5482; best accuracy: 0.5503
--> Epoch 52: loss 1.2085; accuracy: 0.5578; best accuracy: 0.5578
--> Epoch 53: loss 1.5417; accuracy: 0.4946; best accuracy: 0.5578
--> Epoch 54: loss 1.3006; accuracy: 0.5578; best accuracy: 0.5578
--> Epoch 55: loss 1.3514; accuracy: 0.5396; best accuracy: 0.5578
--> Epoch 56: loss 1.2178; accuracy: 0.5557; best accuracy: 0.5578
--> Epoch 57: loss 1.2047; accuracy: 0.5353; best accuracy: 0.5578
--> Epoch 58: loss 1.5293; accuracy: 0.5310; best accuracy: 0.5578
--> Epoch 59: loss 1.1880; accuracy: 0.5471; best accuracy: 0.5578
--> Epoch 60: loss 1.1351; accuracy: 0.5653; best accuracy: 0.5653
--> Epoch 61: loss 1.1123; accuracy: 0.5161; best accuracy: 0.5653
--> Epoch 62: loss 1.0605; accuracy: 0.5567; best accuracy: 0.5653
--> Epoch 63: loss 1.2648; accuracy: 0.5278; best accuracy: 0.5653
--> Epoch 64: loss 1.4255; accuracy: 0.5503; best accuracy: 0.5653
--> Epoch 65: loss 1.2430; accuracy: 0.5632; best accuracy: 0.5653
--> Epoch 66: loss 1.2616; accuracy: 0.5664; best accuracy: 0.5664
--> Epoch 67: loss 1.0781; accuracy: 0.5717; best accuracy: 0.5717
--> Epoch 68: loss 1.0397; accuracy: 0.5696; best accuracy: 0.5717
--> Epoch 69: loss 1.3768; accuracy: 0.5728; best accuracy: 0.5728
--> Epoch 70: loss 1.3108; accuracy: 0.5375; best accuracy: 0.5728
--> Epoch 71: loss 1.1261; accuracy: 0.5696; best accuracy: 0.5728
