--> Epoch 0: train loss 15.6207; validation loss 6.5935; train accuracy: 0.3056; best accuracy: 0.3056; validation F1-score: 0.2822
--> Epoch 1: train loss 15.0914; validation loss 6.4022; train accuracy: 0.4181; best accuracy: 0.4181; validation F1-score: 0.4251
--> Epoch 2: train loss 14.9669; validation loss 6.2723; train accuracy: 0.4208; best accuracy: 0.4208; validation F1-score: 0.4530
--> Epoch 3: train loss 14.9421; validation loss 6.3980; train accuracy: 0.4722; best accuracy: 0.4722; validation F1-score: 0.4042
--> Epoch 4: train loss 15.0190; validation loss 6.2149; train accuracy: 0.4875; best accuracy: 0.4875; validation F1-score: 0.4251
--> Epoch 5: train loss 14.8559; validation loss 6.2402; train accuracy: 0.4542; best accuracy: 0.4875; validation F1-score: 0.4111
--> Epoch 6: train loss 14.8072; validation loss 6.1018; train accuracy: 0.4125; best accuracy: 0.4875; validation F1-score: 0.5157
--> Epoch 7: train loss 14.6864; validation loss 6.2163; train accuracy: 0.4056; best accuracy: 0.4875; validation F1-score: 0.4355
--> Epoch 8: train loss 14.7904; validation loss 6.3326; train accuracy: 0.4806; best accuracy: 0.4875; validation F1-score: 0.4042
--> Epoch 9: train loss 14.8059; validation loss 6.2685; train accuracy: 0.4236; best accuracy: 0.4875; validation F1-score: 0.4077
--> Epoch 10: train loss 14.5096; validation loss 6.3352; train accuracy: 0.3778; best accuracy: 0.4875; validation F1-score: 0.3484
--> Epoch 11: train loss 15.1801; validation loss 6.6028; train accuracy: 0.3597; best accuracy: 0.4875; validation F1-score: 0.4146
--> Epoch 12: train loss 14.9310; validation loss 6.2672; train accuracy: 0.4472; best accuracy: 0.4875; validation F1-score: 0.4704
--> Epoch 13: train loss 14.7225; validation loss 6.3234; train accuracy: 0.4431; best accuracy: 0.4875; validation F1-score: 0.4251
--> Epoch 14: train loss 14.6360; validation loss 6.3597; train accuracy: 0.4069; best accuracy: 0.4875; validation F1-score: 0.3693
--> Epoch 15: train loss 14.7987; validation loss 6.2825; train accuracy: 0.4333; best accuracy: 0.4875; validation F1-score: 0.4564
--> Epoch 16: train loss 14.9492; validation loss 6.1268; train accuracy: 0.4542; best accuracy: 0.4875; validation F1-score: 0.4495
--> Epoch 17: train loss 14.2661; validation loss 6.1669; train accuracy: 0.4611; best accuracy: 0.4875; validation F1-score: 0.4321
--> Epoch 18: train loss 14.5591; validation loss 6.1273; train accuracy: 0.4875; best accuracy: 0.4875; validation F1-score: 0.4564
--> Epoch 19: train loss 14.6422; validation loss 6.2309; train accuracy: 0.4222; best accuracy: 0.4875; validation F1-score: 0.4042
--> Epoch 20: train loss 14.2966; validation loss 6.1829; train accuracy: 0.4319; best accuracy: 0.4875; validation F1-score: 0.4599
--> Epoch 21: train loss 14.7569; validation loss 6.0406; train accuracy: 0.4194; best accuracy: 0.4875; validation F1-score: 0.4181
--> Epoch 22: train loss 15.2423; validation loss 6.3628; train accuracy: 0.4500; best accuracy: 0.4875; validation F1-score: 0.4007
--> Epoch 23: train loss 14.8904; validation loss 6.2364; train accuracy: 0.4069; best accuracy: 0.4875; validation F1-score: 0.3763
--> Epoch 24: train loss 14.9398; validation loss 6.2931; train accuracy: 0.4222; best accuracy: 0.4875; validation F1-score: 0.4530
--> Epoch 25: train loss 15.1039; validation loss 6.1812; train accuracy: 0.4306; best accuracy: 0.4875; validation F1-score: 0.4704
--> Epoch 26: train loss 14.6993; validation loss 6.1979; train accuracy: 0.4083; best accuracy: 0.4875; validation F1-score: 0.4251
--> Epoch 27: train loss 14.9002; validation loss 5.8593; train accuracy: 0.4347; best accuracy: 0.4875; validation F1-score: 0.4913
--> Epoch 28: train loss 14.8292; validation loss 6.0679; train accuracy: 0.4264; best accuracy: 0.4875; validation F1-score: 0.4077
--> Epoch 29: train loss 14.7229; validation loss 6.0586; train accuracy: 0.4972; best accuracy: 0.4972; validation F1-score: 0.4913
--> Epoch 30: train loss 15.0046; validation loss 5.9310; train accuracy: 0.4708; best accuracy: 0.4972; validation F1-score: 0.4843
--> Epoch 31: train loss 14.5703; validation loss 6.1558; train accuracy: 0.4861; best accuracy: 0.4972; validation F1-score: 0.4425
--> Epoch 32: train loss 14.3821; validation loss 6.1664; train accuracy: 0.4750; best accuracy: 0.4972; validation F1-score: 0.4007
--> Epoch 33: train loss 14.6067; validation loss 6.2474; train accuracy: 0.4556; best accuracy: 0.4972; validation F1-score: 0.4251
--> Epoch 34: train loss 14.4693; validation loss 6.1071; train accuracy: 0.4486; best accuracy: 0.4972; validation F1-score: 0.4355
--> Epoch 35: train loss 14.5728; validation loss 6.1231; train accuracy: 0.4278; best accuracy: 0.4972; validation F1-score: 0.4739
--> Epoch 36: train loss 14.8760; validation loss 6.3523; train accuracy: 0.4444; best accuracy: 0.4972; validation F1-score: 0.4181
--> Epoch 37: train loss 15.0747; validation loss 6.6378; train accuracy: 0.3806; best accuracy: 0.4972; validation F1-score: 0.3554
--> Epoch 38: train loss 14.8141; validation loss 6.1273; train accuracy: 0.4361; best accuracy: 0.4972; validation F1-score: 0.4460
--> Epoch 39: train loss 14.8331; validation loss 6.3480; train accuracy: 0.4181; best accuracy: 0.4972; validation F1-score: 0.3868
--> Epoch 40: train loss 14.4931; validation loss 6.0344; train accuracy: 0.4208; best accuracy: 0.4972; validation F1-score: 0.4739
--> Epoch 41: train loss 14.4388; validation loss 6.3187; train accuracy: 0.4792; best accuracy: 0.4972; validation F1-score: 0.4286
--> Epoch 42: train loss 14.5425; validation loss 6.0316; train accuracy: 0.3764; best accuracy: 0.4972; validation F1-score: 0.4355
--> Epoch 43: train loss 14.3926; validation loss 6.1254; train accuracy: 0.4403; best accuracy: 0.4972; validation F1-score: 0.4181
--> Epoch 44: train loss 14.8178; validation loss 6.4132; train accuracy: 0.4708; best accuracy: 0.4972; validation F1-score: 0.4669
--> Epoch 45: train loss 14.7256; validation loss 6.7238; train accuracy: 0.4319; best accuracy: 0.4972; validation F1-score: 0.4251
--> Epoch 46: train loss 14.4603; validation loss 6.2235; train accuracy: 0.4472; best accuracy: 0.4972; validation F1-score: 0.4564
--> Epoch 47: train loss 14.6046; validation loss 6.1422; train accuracy: 0.4597; best accuracy: 0.4972; validation F1-score: 0.4669
--> Epoch 48: train loss 14.6459; validation loss 6.4873; train accuracy: 0.4264; best accuracy: 0.4972; validation F1-score: 0.3659
--> Epoch 49: train loss 14.6070; validation loss 6.3751; train accuracy: 0.4500; best accuracy: 0.4972; validation F1-score: 0.3589
--> Epoch 50: train loss 14.1562; validation loss 6.4020; train accuracy: 0.3819; best accuracy: 0.4972; validation F1-score: 0.4251
--> Epoch 51: train loss 13.9035; validation loss 6.1680; train accuracy: 0.3875; best accuracy: 0.4972; validation F1-score: 0.3972
--> Epoch 52: train loss 14.3621; validation loss 6.3749; train accuracy: 0.4292; best accuracy: 0.4972; validation F1-score: 0.4251
--> Epoch 53: train loss 14.6783; validation loss 6.2954; train accuracy: 0.4694; best accuracy: 0.4972; validation F1-score: 0.4564
--> Epoch 54: train loss 15.1452; validation loss 6.8406; train accuracy: 0.4292; best accuracy: 0.4972; validation F1-score: 0.4355
--> Epoch 55: train loss 14.4221; validation loss 7.0000; train accuracy: 0.4319; best accuracy: 0.4972; validation F1-score: 0.4739
--> Epoch 56: train loss 14.2929; validation loss 5.9229; train accuracy: 0.4278; best accuracy: 0.4972; validation F1-score: 0.4843
--> Epoch 57: train loss 14.8394; validation loss 6.1960; train accuracy: 0.4653; best accuracy: 0.4972; validation F1-score: 0.4286
--> Epoch 58: train loss 14.6764; validation loss 6.0112; train accuracy: 0.4667; best accuracy: 0.4972; validation F1-score: 0.4669
--> Epoch 59: train loss 14.5688; validation loss 6.0296; train accuracy: 0.4347; best accuracy: 0.4972; validation F1-score: 0.4251
--> Epoch 60: train loss 14.3824; validation loss 6.2820; train accuracy: 0.4500; best accuracy: 0.4972; validation F1-score: 0.4251
--> Epoch 61: train loss 14.5573; validation loss 6.2635; train accuracy: 0.4083; best accuracy: 0.4972; validation F1-score: 0.4321
--> Epoch 62: train loss 14.3067; validation loss 6.5800; train accuracy: 0.4000; best accuracy: 0.4972; validation F1-score: 0.4007
