--> Epoch 0: train loss 4.1189; validation loss 13.1447; train accuracy: 0.2733; best accuracy: 0.2733; validation F1-score: 0.2823
--> Epoch 1: train loss 3.4992; validation loss 12.8755; train accuracy: 0.3663; best accuracy: 0.3663; validation F1-score: 0.4022
--> Epoch 2: train loss 3.0758; validation loss 12.9786; train accuracy: 0.4186; best accuracy: 0.4186; validation F1-score: 0.4511
--> Epoch 3: train loss 2.7400; validation loss 12.8233; train accuracy: 0.4302; best accuracy: 0.4302; validation F1-score: 0.4716
--> Epoch 4: train loss 2.8392; validation loss 12.5668; train accuracy: 0.6279; best accuracy: 0.6279; validation F1-score: 0.6688
--> Epoch 5: train loss 2.2359; validation loss 12.1207; train accuracy: 0.6453; best accuracy: 0.6453; validation F1-score: 0.6719
--> Epoch 6: train loss 2.2638; validation loss 11.3556; train accuracy: 0.6279; best accuracy: 0.6453; validation F1-score: 0.6767
--> Epoch 7: train loss 2.0225; validation loss 10.4778; train accuracy: 0.6686; best accuracy: 0.6686; validation F1-score: 0.6830
--> Epoch 8: train loss 1.8521; validation loss 9.3593; train accuracy: 0.6802; best accuracy: 0.6802; validation F1-score: 0.6688
--> Epoch 9: train loss 1.7174; validation loss 8.0721; train accuracy: 0.7384; best accuracy: 0.7384; validation F1-score: 0.7776
--> Epoch 10: train loss 1.6658; validation loss 7.3245; train accuracy: 0.7558; best accuracy: 0.7558; validation F1-score: 0.7808
--> Epoch 11: train loss 1.7837; validation loss 6.5438; train accuracy: 0.7791; best accuracy: 0.7791; validation F1-score: 0.8091
--> Epoch 12: train loss 2.1896; validation loss 5.9454; train accuracy: 0.8081; best accuracy: 0.8081; validation F1-score: 0.8139
--> Epoch 13: train loss 1.6015; validation loss 5.6231; train accuracy: 0.8547; best accuracy: 0.8547; validation F1-score: 0.8249
--> Epoch 14: train loss 1.6442; validation loss 5.3351; train accuracy: 0.8198; best accuracy: 0.8547; validation F1-score: 0.8344
--> Epoch 15: train loss 1.5493; validation loss 5.1495; train accuracy: 0.7965; best accuracy: 0.8547; validation F1-score: 0.8391
--> Epoch 16: train loss 1.6358; validation loss 4.8306; train accuracy: 0.8314; best accuracy: 0.8547; validation F1-score: 0.8502
--> Epoch 17: train loss 1.3681; validation loss 4.7004; train accuracy: 0.7965; best accuracy: 0.8547; validation F1-score: 0.8470
--> Epoch 18: train loss 1.4977; validation loss 4.5648; train accuracy: 0.8663; best accuracy: 0.8663; validation F1-score: 0.8486
--> Epoch 19: train loss 1.3204; validation loss 4.4529; train accuracy: 0.7907; best accuracy: 0.8663; validation F1-score: 0.8486
--> Epoch 20: train loss 1.6919; validation loss 4.2803; train accuracy: 0.8081; best accuracy: 0.8663; validation F1-score: 0.8565
--> Epoch 21: train loss 1.5277; validation loss 4.1502; train accuracy: 0.8140; best accuracy: 0.8663; validation F1-score: 0.8675
--> Epoch 22: train loss 1.3377; validation loss 4.2027; train accuracy: 0.8198; best accuracy: 0.8663; validation F1-score: 0.8533
--> Epoch 23: train loss 1.3217; validation loss 4.2295; train accuracy: 0.8256; best accuracy: 0.8663; validation F1-score: 0.8533
--> Epoch 24: train loss 1.3195; validation loss 3.9349; train accuracy: 0.8314; best accuracy: 0.8663; validation F1-score: 0.8707
--> Epoch 25: train loss 1.4400; validation loss 4.2269; train accuracy: 0.8547; best accuracy: 0.8663; validation F1-score: 0.8549
--> Epoch 26: train loss 1.2146; validation loss 4.0564; train accuracy: 0.8547; best accuracy: 0.8663; validation F1-score: 0.8659
--> Epoch 27: train loss 1.3903; validation loss 4.0038; train accuracy: 0.8314; best accuracy: 0.8663; validation F1-score: 0.8612
--> Epoch 28: train loss 1.4149; validation loss 4.1357; train accuracy: 0.8488; best accuracy: 0.8663; validation F1-score: 0.8596
--> Epoch 29: train loss 1.4817; validation loss 4.0811; train accuracy: 0.8605; best accuracy: 0.8663; validation F1-score: 0.8644
--> Epoch 30: train loss 1.3058; validation loss 4.0000; train accuracy: 0.8663; best accuracy: 0.8663; validation F1-score: 0.8801
--> Epoch 31: train loss 1.2565; validation loss 3.8864; train accuracy: 0.8256; best accuracy: 0.8663; validation F1-score: 0.8738
--> Epoch 32: train loss 1.2027; validation loss 3.7204; train accuracy: 0.8488; best accuracy: 0.8663; validation F1-score: 0.8785
--> Epoch 33: train loss 1.3019; validation loss 3.6433; train accuracy: 0.8314; best accuracy: 0.8663; validation F1-score: 0.8785
--> Epoch 34: train loss 1.4546; validation loss 4.0198; train accuracy: 0.8314; best accuracy: 0.8663; validation F1-score: 0.8628
--> Epoch 35: train loss 1.3919; validation loss 4.0373; train accuracy: 0.8256; best accuracy: 0.8663; validation F1-score: 0.8659
--> Epoch 36: train loss 1.2995; validation loss 3.8165; train accuracy: 0.8140; best accuracy: 0.8663; validation F1-score: 0.8612
--> Epoch 37: train loss 1.2023; validation loss 3.7608; train accuracy: 0.8256; best accuracy: 0.8663; validation F1-score: 0.8644
--> Epoch 38: train loss 1.2522; validation loss 3.5875; train accuracy: 0.8663; best accuracy: 0.8663; validation F1-score: 0.8691
--> Epoch 39: train loss 1.4274; validation loss 3.9167; train accuracy: 0.8895; best accuracy: 0.8895; validation F1-score: 0.8675
--> Epoch 40: train loss 1.4541; validation loss 4.2524; train accuracy: 0.8198; best accuracy: 0.8895; validation F1-score: 0.8785
--> Epoch 41: train loss 1.2706; validation loss 4.2517; train accuracy: 0.8779; best accuracy: 0.8895; validation F1-score: 0.8644
--> Epoch 42: train loss 1.3108; validation loss 3.9066; train accuracy: 0.8547; best accuracy: 0.8895; validation F1-score: 0.8675
--> Epoch 43: train loss 1.6002; validation loss 3.9692; train accuracy: 0.8779; best accuracy: 0.8895; validation F1-score: 0.8785
--> Epoch 44: train loss 1.4482; validation loss 4.2639; train accuracy: 0.8314; best accuracy: 0.8895; validation F1-score: 0.8565
--> Epoch 45: train loss 1.1584; validation loss 4.4817; train accuracy: 0.8372; best accuracy: 0.8895; validation F1-score: 0.8565
--> Epoch 46: train loss 1.4454; validation loss 3.9467; train accuracy: 0.8314; best accuracy: 0.8895; validation F1-score: 0.8644
--> Epoch 47: train loss 1.1840; validation loss 3.8172; train accuracy: 0.8721; best accuracy: 0.8895; validation F1-score: 0.8644
--> Epoch 48: train loss 1.2154; validation loss 3.5358; train accuracy: 0.8779; best accuracy: 0.8895; validation F1-score: 0.8833
--> Epoch 49: train loss 1.4935; validation loss 3.7599; train accuracy: 0.8547; best accuracy: 0.8895; validation F1-score: 0.8659
--> Epoch 50: train loss 1.3771; validation loss 3.6106; train accuracy: 0.8953; best accuracy: 0.8953; validation F1-score: 0.8801
--> Epoch 51: train loss 1.4374; validation loss 4.0329; train accuracy: 0.8430; best accuracy: 0.8953; validation F1-score: 0.8486
--> Epoch 52: train loss 1.0583; validation loss 4.0118; train accuracy: 0.8198; best accuracy: 0.8953; validation F1-score: 0.8612
--> Epoch 53: train loss 1.3586; validation loss 4.0436; train accuracy: 0.8314; best accuracy: 0.8953; validation F1-score: 0.8738
--> Epoch 54: train loss 1.3199; validation loss 3.6036; train accuracy: 0.8663; best accuracy: 0.8953; validation F1-score: 0.8707
--> Epoch 55: train loss 1.1813; validation loss 3.7120; train accuracy: 0.8779; best accuracy: 0.8953; validation F1-score: 0.8612
--> Epoch 56: train loss 1.0573; validation loss 3.8211; train accuracy: 0.8547; best accuracy: 0.8953; validation F1-score: 0.8722
--> Epoch 57: train loss 1.2792; validation loss 3.6559; train accuracy: 0.8488; best accuracy: 0.8953; validation F1-score: 0.8880
--> Epoch 58: train loss 1.3556; validation loss 3.5738; train accuracy: 0.8605; best accuracy: 0.8953; validation F1-score: 0.8880
--> 5day_surveyext_Nov22Feb24 Test Accuracy: 0.8468
0.846820809248555
