--> Epoch 0: train loss 0.6776; validation loss 1.3055; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 1: train loss 0.5828; validation loss 1.3543; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 2: train loss 0.5063; validation loss 1.3533; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 3: train loss 0.4510; validation loss 1.3779; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 4: train loss 0.4104; validation loss 1.3610; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 5: train loss 0.3797; validation loss 1.3558; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 6: train loss 0.3553; validation loss 1.3598; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 7: train loss 0.3350; validation loss 1.3687; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 8: train loss 0.3173; validation loss 1.3724; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 9: train loss 0.3017; validation loss 1.3469; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 10: train loss 0.2876; validation loss 1.3496; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 11: train loss 0.2749; validation loss 1.3467; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 12: train loss 0.2633; validation loss 1.3418; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 13: train loss 0.2528; validation loss 1.3414; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7200
--> Epoch 14: train loss 0.2431; validation loss 1.3407; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7333
--> Epoch 15: train loss 0.2342; validation loss 1.2750; train accuracy: 0.9000; best accuracy: 0.9000; validation F1-score: 0.7333
--> Epoch 16: train loss 0.2260; validation loss 1.2747; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7467
--> Epoch 17: train loss 0.2183; validation loss 1.2495; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7600
--> Epoch 18: train loss 0.2111; validation loss 1.2488; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7600
--> Epoch 19: train loss 0.2044; validation loss 1.1826; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7600
--> Epoch 20: train loss 0.1981; validation loss 1.2152; train accuracy: 0.9500; best accuracy: 0.9500; validation F1-score: 0.7600
