--> Epoch 0: train loss 8.8931; validation loss 3.6135; train accuracy: 0.1351; best accuracy: 0.1351; validation F1-score: 0.0932
--> Epoch 1: train loss 8.8047; validation loss 3.6141; train accuracy: 0.1351; best accuracy: 0.1351; validation F1-score: 0.0932
--> Epoch 2: train loss 8.7211; validation loss 3.6152; train accuracy: 0.1351; best accuracy: 0.1351; validation F1-score: 0.0932
--> Epoch 3: train loss 8.6832; validation loss 3.5968; train accuracy: 0.1351; best accuracy: 0.1351; validation F1-score: 0.0932
--> Epoch 4: train loss 8.5948; validation loss 3.5538; train accuracy: 0.2027; best accuracy: 0.2027; validation F1-score: 0.1695
--> Epoch 5: train loss 8.5015; validation loss 3.5126; train accuracy: 0.3041; best accuracy: 0.3041; validation F1-score: 0.3305
--> Epoch 6: train loss 8.4387; validation loss 3.4907; train accuracy: 0.2973; best accuracy: 0.3041; validation F1-score: 0.3644
--> Epoch 7: train loss 8.4848; validation loss 3.4233; train accuracy: 0.3142; best accuracy: 0.3142; validation F1-score: 0.3136
--> Epoch 8: train loss 8.3292; validation loss 3.4492; train accuracy: 0.3142; best accuracy: 0.3142; validation F1-score: 0.2881
--> Epoch 9: train loss 8.3678; validation loss 3.3969; train accuracy: 0.3378; best accuracy: 0.3378; validation F1-score: 0.3136
--> Epoch 10: train loss 8.3436; validation loss 3.3521; train accuracy: 0.3345; best accuracy: 0.3378; validation F1-score: 0.3220
--> Epoch 11: train loss 8.2847; validation loss 3.3282; train accuracy: 0.3108; best accuracy: 0.3378; validation F1-score: 0.3051
--> Epoch 12: train loss 8.5165; validation loss 3.3320; train accuracy: 0.3142; best accuracy: 0.3378; validation F1-score: 0.3475
--> Epoch 13: train loss 8.3324; validation loss 3.3269; train accuracy: 0.2939; best accuracy: 0.3378; validation F1-score: 0.3305
--> Epoch 14: train loss 8.2977; validation loss 3.2706; train accuracy: 0.3446; best accuracy: 0.3446; validation F1-score: 0.3305
--> Epoch 15: train loss 8.1636; validation loss 3.3483; train accuracy: 0.3378; best accuracy: 0.3446; validation F1-score: 0.3475
--> Epoch 16: train loss 8.3097; validation loss 3.2628; train accuracy: 0.3345; best accuracy: 0.3446; validation F1-score: 0.3729
--> Epoch 17: train loss 8.2434; validation loss 3.3248; train accuracy: 0.3345; best accuracy: 0.3446; validation F1-score: 0.3390
--> Epoch 18: train loss 8.3406; validation loss 3.2813; train accuracy: 0.3108; best accuracy: 0.3446; validation F1-score: 0.3390
--> Epoch 19: train loss 8.2963; validation loss 3.2884; train accuracy: 0.3378; best accuracy: 0.3446; validation F1-score: 0.3136
--> Epoch 20: train loss 8.1511; validation loss 3.2467; train accuracy: 0.3277; best accuracy: 0.3446; validation F1-score: 0.3475
--> Epoch 21: train loss 8.0613; validation loss 3.3942; train accuracy: 0.3142; best accuracy: 0.3446; validation F1-score: 0.3220
--> Epoch 22: train loss 7.9863; validation loss 3.3141; train accuracy: 0.3378; best accuracy: 0.3446; validation F1-score: 0.3475
--> Epoch 23: train loss 8.2459; validation loss 3.2767; train accuracy: 0.3176; best accuracy: 0.3446; validation F1-score: 0.3559
--> Epoch 24: train loss 8.0063; validation loss 3.3512; train accuracy: 0.3345; best accuracy: 0.3446; validation F1-score: 0.2966
