--> Epoch 0: train loss 10.6749; validation loss 5.4219; train accuracy: 0.1378; best accuracy: 0.1378; validation F1-score: 0.0946
--> Epoch 1: train loss 10.5123; validation loss 5.4592; train accuracy: 0.2189; best accuracy: 0.2189; validation F1-score: 0.1757
--> Epoch 2: train loss 10.2984; validation loss 5.3459; train accuracy: 0.2189; best accuracy: 0.2189; validation F1-score: 0.1757
--> Epoch 3: train loss 10.2526; validation loss 5.3754; train accuracy: 0.2189; best accuracy: 0.2189; validation F1-score: 0.1757
--> Epoch 4: train loss 10.2637; validation loss 5.2680; train accuracy: 0.2486; best accuracy: 0.2486; validation F1-score: 0.2162
--> Epoch 5: train loss 10.1980; validation loss 5.1568; train accuracy: 0.3081; best accuracy: 0.3081; validation F1-score: 0.2432
--> Epoch 6: train loss 10.2809; validation loss 5.1809; train accuracy: 0.2649; best accuracy: 0.3081; validation F1-score: 0.2162
--> Epoch 7: train loss 10.1949; validation loss 5.1356; train accuracy: 0.2838; best accuracy: 0.3081; validation F1-score: 0.2500
--> Epoch 8: train loss 10.0963; validation loss 5.1327; train accuracy: 0.3135; best accuracy: 0.3135; validation F1-score: 0.1959
--> Epoch 9: train loss 10.0573; validation loss 4.9668; train accuracy: 0.3027; best accuracy: 0.3135; validation F1-score: 0.3176
--> Epoch 10: train loss 10.0023; validation loss 4.9134; train accuracy: 0.3297; best accuracy: 0.3297; validation F1-score: 0.3378
--> Epoch 11: train loss 9.9321; validation loss 5.1098; train accuracy: 0.3027; best accuracy: 0.3297; validation F1-score: 0.3243
--> Epoch 12: train loss 9.9100; validation loss 5.0619; train accuracy: 0.2892; best accuracy: 0.3297; validation F1-score: 0.2568
--> Epoch 13: train loss 9.8352; validation loss 4.9927; train accuracy: 0.2892; best accuracy: 0.3297; validation F1-score: 0.2703
--> Epoch 14: train loss 9.8487; validation loss 5.0250; train accuracy: 0.2973; best accuracy: 0.3297; validation F1-score: 0.2568
--> Epoch 15: train loss 9.6672; validation loss 4.8241; train accuracy: 0.3000; best accuracy: 0.3297; validation F1-score: 0.2905
--> Epoch 16: train loss 10.1953; validation loss 4.9045; train accuracy: 0.3216; best accuracy: 0.3297; validation F1-score: 0.3378
--> Epoch 17: train loss 9.8827; validation loss 5.0461; train accuracy: 0.2838; best accuracy: 0.3297; validation F1-score: 0.2500
--> Epoch 18: train loss 9.8995; validation loss 4.9186; train accuracy: 0.3108; best accuracy: 0.3297; validation F1-score: 0.3176
--> Epoch 19: train loss 9.9447; validation loss 4.9612; train accuracy: 0.3081; best accuracy: 0.3297; validation F1-score: 0.2973
--> Epoch 20: train loss 9.8475; validation loss 4.7995; train accuracy: 0.3000; best accuracy: 0.3297; validation F1-score: 0.3514
--> Epoch 21: train loss 9.8015; validation loss 4.6875; train accuracy: 0.2946; best accuracy: 0.3297; validation F1-score: 0.3311
--> Epoch 22: train loss 9.5734; validation loss 5.0939; train accuracy: 0.2865; best accuracy: 0.3297; validation F1-score: 0.2838
--> Epoch 23: train loss 9.9170; validation loss 4.8319; train accuracy: 0.2784; best accuracy: 0.3297; validation F1-score: 0.3311
--> Epoch 24: train loss 9.8199; validation loss 4.9845; train accuracy: 0.2676; best accuracy: 0.3297; validation F1-score: 0.3041
--> Epoch 25: train loss 9.8065; validation loss 4.9247; train accuracy: 0.3162; best accuracy: 0.3297; validation F1-score: 0.2703
--> Epoch 26: train loss 9.8551; validation loss 4.9122; train accuracy: 0.3027; best accuracy: 0.3297; validation F1-score: 0.2703
--> Epoch 27: train loss 9.8184; validation loss 4.9114; train accuracy: 0.3135; best accuracy: 0.3297; validation F1-score: 0.2568
--> Epoch 28: train loss 9.8249; validation loss 4.8071; train accuracy: 0.3216; best accuracy: 0.3297; validation F1-score: 0.2838
--> Epoch 29: train loss 9.7120; validation loss 5.0359; train accuracy: 0.3297; best accuracy: 0.3297; validation F1-score: 0.2905
--> Epoch 30: train loss 9.7423; validation loss 4.9822; train accuracy: 0.3216; best accuracy: 0.3297; validation F1-score: 0.2770
--> Epoch 31: train loss 9.6929; validation loss 4.9570; train accuracy: 0.3162; best accuracy: 0.3297; validation F1-score: 0.2635
--> Epoch 32: train loss 9.9727; validation loss 4.8121; train accuracy: 0.2811; best accuracy: 0.3297; validation F1-score: 0.3041
--> Epoch 33: train loss 9.7175; validation loss 4.8313; train accuracy: 0.3162; best accuracy: 0.3297; validation F1-score: 0.3243
--> Epoch 34: train loss 9.7085; validation loss 4.7093; train accuracy: 0.3054; best accuracy: 0.3297; validation F1-score: 0.2973
--> Epoch 35: train loss 9.8006; validation loss 4.9424; train accuracy: 0.3270; best accuracy: 0.3297; validation F1-score: 0.2703
--> Epoch 36: train loss 9.5941; validation loss 5.1450; train accuracy: 0.2892; best accuracy: 0.3297; validation F1-score: 0.2297
--> Epoch 37: train loss 9.6691; validation loss 4.9924; train accuracy: 0.3351; best accuracy: 0.3351; validation F1-score: 0.2905
