--> Epoch 0: train loss 10.7164; validation loss 5.4117; train accuracy: 0.1946; best accuracy: 0.1946; validation F1-score: 0.1486
--> Epoch 1: train loss 10.6808; validation loss 5.4184; train accuracy: 0.1946; best accuracy: 0.1946; validation F1-score: 0.1486
--> Epoch 2: train loss 10.5770; validation loss 5.4021; train accuracy: 0.1946; best accuracy: 0.1946; validation F1-score: 0.1486
--> Epoch 3: train loss 10.5930; validation loss 5.3585; train accuracy: 0.1946; best accuracy: 0.1946; validation F1-score: 0.2162
--> Epoch 4: train loss 10.5267; validation loss 5.3211; train accuracy: 0.2243; best accuracy: 0.2243; validation F1-score: 0.2297
--> Epoch 5: train loss 10.4083; validation loss 5.2573; train accuracy: 0.2676; best accuracy: 0.2676; validation F1-score: 0.2905
--> Epoch 6: train loss 10.3704; validation loss 5.2734; train accuracy: 0.2514; best accuracy: 0.2676; validation F1-score: 0.2095
--> Epoch 7: train loss 10.2561; validation loss 5.2662; train accuracy: 0.2378; best accuracy: 0.2676; validation F1-score: 0.1622
--> Epoch 8: train loss 10.2032; validation loss 5.2889; train accuracy: 0.2622; best accuracy: 0.2676; validation F1-score: 0.1824
--> Epoch 9: train loss 10.3752; validation loss 5.2450; train accuracy: 0.2541; best accuracy: 0.2676; validation F1-score: 0.1824
--> Epoch 10: train loss 10.4920; validation loss 5.2001; train accuracy: 0.2838; best accuracy: 0.2838; validation F1-score: 0.2432
--> Epoch 11: train loss 10.2778; validation loss 5.2039; train accuracy: 0.2541; best accuracy: 0.2838; validation F1-score: 0.2297
--> Epoch 12: train loss 10.3131; validation loss 5.1540; train accuracy: 0.2865; best accuracy: 0.2865; validation F1-score: 0.2568
--> Epoch 13: train loss 10.2542; validation loss 5.0463; train accuracy: 0.2486; best accuracy: 0.2865; validation F1-score: 0.2568
--> Epoch 14: train loss 10.2625; validation loss 5.1095; train accuracy: 0.2919; best accuracy: 0.2919; validation F1-score: 0.2838
--> Epoch 15: train loss 10.1572; validation loss 5.0149; train accuracy: 0.2757; best accuracy: 0.2919; validation F1-score: 0.2635
--> Epoch 16: train loss 10.1376; validation loss 5.0829; train accuracy: 0.2405; best accuracy: 0.2919; validation F1-score: 0.2568
--> Epoch 17: train loss 10.2198; validation loss 5.3210; train accuracy: 0.2541; best accuracy: 0.2919; validation F1-score: 0.2297
--> Epoch 18: train loss 10.1988; validation loss 5.1067; train accuracy: 0.2676; best accuracy: 0.2919; validation F1-score: 0.2770
--> Epoch 19: train loss 10.2236; validation loss 4.9907; train accuracy: 0.2568; best accuracy: 0.2919; validation F1-score: 0.3108
--> Epoch 20: train loss 10.1079; validation loss 5.0971; train accuracy: 0.2865; best accuracy: 0.2919; validation F1-score: 0.2703
--> Epoch 21: train loss 10.1810; validation loss 5.0181; train accuracy: 0.2946; best accuracy: 0.2946; validation F1-score: 0.2432
--> Epoch 22: train loss 10.1252; validation loss 5.1011; train accuracy: 0.3054; best accuracy: 0.3054; validation F1-score: 0.2703
--> Epoch 23: train loss 10.0435; validation loss 5.1419; train accuracy: 0.2703; best accuracy: 0.3054; validation F1-score: 0.1892
--> Epoch 24: train loss 10.0903; validation loss 5.0697; train accuracy: 0.3027; best accuracy: 0.3054; validation F1-score: 0.1892
--> Epoch 25: train loss 10.3750; validation loss 4.8508; train accuracy: 0.2757; best accuracy: 0.3054; validation F1-score: 0.2703
--> Epoch 26: train loss 10.0539; validation loss 5.1265; train accuracy: 0.3081; best accuracy: 0.3081; validation F1-score: 0.2297
--> Epoch 27: train loss 9.8753; validation loss 5.0058; train accuracy: 0.3000; best accuracy: 0.3081; validation F1-score: 0.2432
--> Epoch 28: train loss 9.9743; validation loss 5.0042; train accuracy: 0.2730; best accuracy: 0.3081; validation F1-score: 0.2432
--> Epoch 29: train loss 10.0344; validation loss 5.0397; train accuracy: 0.3108; best accuracy: 0.3108; validation F1-score: 0.2365
--> Epoch 30: train loss 10.2721; validation loss 5.0491; train accuracy: 0.2892; best accuracy: 0.3108; validation F1-score: 0.2162
--> Epoch 31: train loss 10.2084; validation loss 5.0534; train accuracy: 0.3108; best accuracy: 0.3108; validation F1-score: 0.2568
--> Epoch 32: train loss 10.0540; validation loss 5.2322; train accuracy: 0.3000; best accuracy: 0.3108; validation F1-score: 0.2095
--> Epoch 33: train loss 10.0021; validation loss 4.9724; train accuracy: 0.3054; best accuracy: 0.3108; validation F1-score: 0.2432
--> Epoch 34: train loss 10.0202; validation loss 5.0553; train accuracy: 0.3027; best accuracy: 0.3108; validation F1-score: 0.2432
--> Epoch 35: train loss 9.8899; validation loss 5.0209; train accuracy: 0.2757; best accuracy: 0.3108; validation F1-score: 0.2365
--> Epoch 36: train loss 9.9228; validation loss 5.0024; train accuracy: 0.3054; best accuracy: 0.3108; validation F1-score: 0.2770
--> Epoch 37: train loss 9.9436; validation loss 5.0436; train accuracy: 0.2973; best accuracy: 0.3108; validation F1-score: 0.2635
--> Epoch 38: train loss 10.2758; validation loss 4.9897; train accuracy: 0.2784; best accuracy: 0.3108; validation F1-score: 0.2770
--> Epoch 39: train loss 10.1763; validation loss 5.0008; train accuracy: 0.3000; best accuracy: 0.3108; validation F1-score: 0.2635
--> Epoch 40: train loss 9.9216; validation loss 5.0144; train accuracy: 0.3054; best accuracy: 0.3108; validation F1-score: 0.2432
--> Epoch 41: train loss 10.2812; validation loss 5.2271; train accuracy: 0.2784; best accuracy: 0.3108; validation F1-score: 0.1554
--> Epoch 42: train loss 10.0111; validation loss 5.0070; train accuracy: 0.2865; best accuracy: 0.3108; validation F1-score: 0.2162
--> Epoch 43: train loss 10.0213; validation loss 5.1139; train accuracy: 0.2541; best accuracy: 0.3108; validation F1-score: 0.2568
--> Epoch 44: train loss 10.0230; validation loss 4.9980; train accuracy: 0.3027; best accuracy: 0.3108; validation F1-score: 0.2432
--> Epoch 45: train loss 10.0404; validation loss 5.0604; train accuracy: 0.2865; best accuracy: 0.3108; validation F1-score: 0.2365
--> Epoch 46: train loss 9.9864; validation loss 5.0064; train accuracy: 0.3135; best accuracy: 0.3135; validation F1-score: 0.2432
--> Epoch 47: train loss 10.0145; validation loss 5.0752; train accuracy: 0.3081; best accuracy: 0.3135; validation F1-score: 0.2365
--> Epoch 48: train loss 10.1620; validation loss 5.0388; train accuracy: 0.2784; best accuracy: 0.3135; validation F1-score: 0.2500
--> Epoch 49: train loss 10.3616; validation loss 5.2524; train accuracy: 0.2892; best accuracy: 0.3135; validation F1-score: 0.1959
--> Epoch 50: train loss 10.0809; validation loss 5.2715; train accuracy: 0.2784; best accuracy: 0.3135; validation F1-score: 0.2230
--> Epoch 51: train loss 10.0982; validation loss 5.0454; train accuracy: 0.3081; best accuracy: 0.3135; validation F1-score: 0.2432
--> Epoch 52: train loss 10.1119; validation loss 5.0885; train accuracy: 0.2865; best accuracy: 0.3135; validation F1-score: 0.1959
--> Epoch 53: train loss 9.9694; validation loss 4.9817; train accuracy: 0.3000; best accuracy: 0.3135; validation F1-score: 0.2432
--> Epoch 54: train loss 9.8691; validation loss 5.4116; train accuracy: 0.3162; best accuracy: 0.3162; validation F1-score: 0.2027
--> Epoch 55: train loss 10.0086; validation loss 5.1193; train accuracy: 0.3054; best accuracy: 0.3162; validation F1-score: 0.2027
--> Epoch 56: train loss 9.8939; validation loss 5.0492; train accuracy: 0.2784; best accuracy: 0.3162; validation F1-score: 0.2635
--> Epoch 57: train loss 10.0585; validation loss 5.1002; train accuracy: 0.2838; best accuracy: 0.3162; validation F1-score: 0.2027
--> Epoch 58: train loss 10.4754; validation loss 5.1324; train accuracy: 0.3027; best accuracy: 0.3162; validation F1-score: 0.2568
--> Epoch 59: train loss 9.9349; validation loss 5.0750; train accuracy: 0.3027; best accuracy: 0.3162; validation F1-score: 0.2365
--> Epoch 60: train loss 9.9729; validation loss 4.9461; train accuracy: 0.3000; best accuracy: 0.3162; validation F1-score: 0.2162
--> Epoch 61: train loss 10.1285; validation loss 5.0684; train accuracy: 0.3027; best accuracy: 0.3162; validation F1-score: 0.1892
--> Epoch 62: train loss 10.0225; validation loss 5.1102; train accuracy: 0.3108; best accuracy: 0.3162; validation F1-score: 0.2635
--> Epoch 63: train loss 10.1343; validation loss 5.2450; train accuracy: 0.2946; best accuracy: 0.3162; validation F1-score: 0.2365
--> Epoch 64: train loss 9.9361; validation loss 5.0614; train accuracy: 0.2676; best accuracy: 0.3162; validation F1-score: 0.2230
--> Epoch 65: train loss 9.9644; validation loss 4.9560; train accuracy: 0.3243; best accuracy: 0.3243; validation F1-score: 0.2703
--> Epoch 66: train loss 10.1275; validation loss 5.1106; train accuracy: 0.3108; best accuracy: 0.3243; validation F1-score: 0.2770
--> Epoch 67: train loss 9.8736; validation loss 5.1337; train accuracy: 0.3324; best accuracy: 0.3324; validation F1-score: 0.2230
--> Epoch 68: train loss 10.0434; validation loss 4.9723; train accuracy: 0.3027; best accuracy: 0.3324; validation F1-score: 0.2297
--> Epoch 69: train loss 9.9555; validation loss 5.0573; train accuracy: 0.2486; best accuracy: 0.3324; validation F1-score: 0.2432
--> Epoch 70: train loss 9.8652; validation loss 5.1064; train accuracy: 0.3108; best accuracy: 0.3324; validation F1-score: 0.2027
--> Epoch 71: train loss 9.9072; validation loss 5.0030; train accuracy: 0.2865; best accuracy: 0.3324; validation F1-score: 0.2703
--> Epoch 72: train loss 9.8501; validation loss 5.0813; train accuracy: 0.3054; best accuracy: 0.3324; validation F1-score: 0.2365
--> Epoch 73: train loss 10.2711; validation loss 4.9350; train accuracy: 0.3189; best accuracy: 0.3324; validation F1-score: 0.2568
--> Epoch 74: train loss 10.0771; validation loss 4.9465; train accuracy: 0.3054; best accuracy: 0.3324; validation F1-score: 0.2297
--> Epoch 75: train loss 9.8961; validation loss 4.8651; train accuracy: 0.3189; best accuracy: 0.3324; validation F1-score: 0.2568
--> Epoch 76: train loss 10.4545; validation loss 4.9988; train accuracy: 0.3243; best accuracy: 0.3324; validation F1-score: 0.2432
--> Epoch 77: train loss 9.8954; validation loss 5.0394; train accuracy: 0.2784; best accuracy: 0.3324; validation F1-score: 0.2905
--> Epoch 78: train loss 11.2092; validation loss 5.0107; train accuracy: 0.3054; best accuracy: 0.3324; validation F1-score: 0.2703
--> Epoch 79: train loss 10.0202; validation loss 5.0717; train accuracy: 0.2919; best accuracy: 0.3324; validation F1-score: 0.2432
--> Epoch 80: train loss 10.1834; validation loss 5.1487; train accuracy: 0.2838; best accuracy: 0.3324; validation F1-score: 0.2432
--> Epoch 81: train loss 10.1620; validation loss 5.0216; train accuracy: 0.2676; best accuracy: 0.3324; validation F1-score: 0.2297
--> Epoch 82: train loss 10.0057; validation loss 5.0900; train accuracy: 0.2811; best accuracy: 0.3324; validation F1-score: 0.2432
--> Epoch 83: train loss 10.1517; validation loss 4.9937; train accuracy: 0.3000; best accuracy: 0.3324; validation F1-score: 0.2432
--> Epoch 84: train loss 10.0988; validation loss 5.0530; train accuracy: 0.3000; best accuracy: 0.3324; validation F1-score: 0.2365
--> Epoch 85: train loss 9.9099; validation loss 5.0345; train accuracy: 0.2973; best accuracy: 0.3324; validation F1-score: 0.2635
--> Epoch 86: train loss 9.8926; validation loss 5.0653; train accuracy: 0.2622; best accuracy: 0.3324; validation F1-score: 0.2230
--> Epoch 87: train loss 9.8727; validation loss 5.0897; train accuracy: 0.3027; best accuracy: 0.3324; validation F1-score: 0.2703
--> Epoch 88: train loss 10.1217; validation loss 4.9766; train accuracy: 0.3189; best accuracy: 0.3324; validation F1-score: 0.2365
--> Epoch 89: train loss 9.9195; validation loss 5.0873; train accuracy: 0.2622; best accuracy: 0.3324; validation F1-score: 0.2297
