--> Epoch 0: train loss 5.2237; validation loss 2.0480; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 1: train loss 4.9512; validation loss 2.0631; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 2: train loss 4.8586; validation loss 2.0482; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 3: train loss 4.7906; validation loss 2.0271; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 4: train loss 4.6238; validation loss 1.9471; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6250
--> Epoch 5: train loss 4.2825; validation loss 1.9346; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 6: train loss 4.4051; validation loss 1.7782; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 7: train loss 4.3211; validation loss 1.8349; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 8: train loss 4.2439; validation loss 1.9045; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 9: train loss 4.1531; validation loss 1.7896; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 10: train loss 4.3250; validation loss 1.7156; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 11: train loss 4.5230; validation loss 1.7561; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 12: train loss 4.3182; validation loss 1.7829; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 13: train loss 3.9594; validation loss 1.6403; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 14: train loss 4.1981; validation loss 1.6883; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 15: train loss 4.3479; validation loss 1.7321; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 16: train loss 4.4680; validation loss 1.6433; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 17: train loss 4.3556; validation loss 1.7157; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 18: train loss 3.9057; validation loss 1.8841; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
--> Epoch 19: train loss 4.0903; validation loss 1.6715; train accuracy: 0.6667; best accuracy: 0.6667; validation F1-score: 0.6731
