--> Epoch 0: loss 1.7754; accuracy: 0.1583; best accuracy: 0.1583
--> Epoch 1: loss 1.7096; accuracy: 0.1667; best accuracy: 0.1667
--> Epoch 2: loss 1.6749; accuracy: 0.1667; best accuracy: 0.1667
--> Epoch 3: loss 1.6339; accuracy: 0.1667; best accuracy: 0.1667
--> Epoch 4: loss 1.6460; accuracy: 0.1667; best accuracy: 0.1667
--> Epoch 5: loss 1.5945; accuracy: 0.1667; best accuracy: 0.1667
--> Epoch 6: loss 1.5633; accuracy: 0.1667; best accuracy: 0.1667
--> Epoch 7: loss 1.5222; accuracy: 0.1667; best accuracy: 0.1667
--> Epoch 8: loss 1.4573; accuracy: 0.1500; best accuracy: 0.1667
--> Epoch 9: loss 1.5300; accuracy: 0.1667; best accuracy: 0.1667
--> Epoch 10: loss 1.5186; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 11: loss 1.4806; accuracy: 0.3167; best accuracy: 0.3167
--> Epoch 12: loss 1.6117; accuracy: 0.3083; best accuracy: 0.3167
--> Epoch 13: loss 1.6299; accuracy: 0.3500; best accuracy: 0.3500
--> Epoch 14: loss 1.5880; accuracy: 0.3667; best accuracy: 0.3667
--> Epoch 15: loss 1.5481; accuracy: 0.4833; best accuracy: 0.4833
--> Epoch 16: loss 1.4406; accuracy: 0.4417; best accuracy: 0.4833
--> Epoch 17: loss 1.5026; accuracy: 0.4917; best accuracy: 0.4917
--> Epoch 18: loss 1.4946; accuracy: 0.4667; best accuracy: 0.4917
--> Epoch 19: loss 1.4676; accuracy: 0.4250; best accuracy: 0.4917
--> Epoch 20: loss 1.4882; accuracy: 0.5250; best accuracy: 0.5250
--> Epoch 21: loss 1.4043; accuracy: 0.5500; best accuracy: 0.5500
--> Epoch 22: loss 1.2695; accuracy: 0.5500; best accuracy: 0.5500
--> Epoch 23: loss 1.3969; accuracy: 0.6667; best accuracy: 0.6667
--> Epoch 24: loss 1.4723; accuracy: 0.5333; best accuracy: 0.6667
--> Epoch 25: loss 1.3460; accuracy: 0.6583; best accuracy: 0.6667
--> Epoch 26: loss 1.4352; accuracy: 0.6000; best accuracy: 0.6667
--> Epoch 27: loss 1.4628; accuracy: 0.4500; best accuracy: 0.6667
--> Epoch 28: loss 1.3508; accuracy: 0.5917; best accuracy: 0.6667
--> Epoch 29: loss 1.3653; accuracy: 0.6417; best accuracy: 0.6667
--> Epoch 30: loss 1.4199; accuracy: 0.5500; best accuracy: 0.6667
--> Epoch 31: loss 1.2563; accuracy: 0.5000; best accuracy: 0.6667
--> Epoch 32: loss 1.4169; accuracy: 0.4167; best accuracy: 0.6667
--> Epoch 33: loss 1.3124; accuracy: 0.5000; best accuracy: 0.6667
--> Epoch 34: loss 1.2210; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 35: loss 1.2820; accuracy: 0.7167; best accuracy: 0.7167
--> Epoch 36: loss 1.2913; accuracy: 0.5333; best accuracy: 0.7167
--> Epoch 37: loss 1.4832; accuracy: 0.6500; best accuracy: 0.7167
--> Epoch 38: loss 1.2971; accuracy: 0.5667; best accuracy: 0.7167
--> Epoch 39: loss 1.3563; accuracy: 0.5833; best accuracy: 0.7167
--> Epoch 40: loss 1.4217; accuracy: 0.7083; best accuracy: 0.7167
--> Epoch 41: loss 1.1589; accuracy: 0.5167; best accuracy: 0.7167
--> Epoch 42: loss 1.2111; accuracy: 0.5250; best accuracy: 0.7167
--> Epoch 43: loss 1.1461; accuracy: 0.6667; best accuracy: 0.7167
--> Epoch 44: loss 1.0370; accuracy: 0.6333; best accuracy: 0.7167
--> Epoch 45: loss 1.2123; accuracy: 0.5500; best accuracy: 0.7167
--> Epoch 46: loss 1.1671; accuracy: 0.5667; best accuracy: 0.7167
--> Epoch 47: loss 1.1195; accuracy: 0.5083; best accuracy: 0.7167
--> Epoch 48: loss 1.3070; accuracy: 0.5500; best accuracy: 0.7167
--> Epoch 49: loss 1.0127; accuracy: 0.6667; best accuracy: 0.7167
--> AHU Test Accuracy: 0.6736
0.6735751295336787
