--> Epoch 0: loss 2.2119; accuracy: 0.1111; best accuracy: 0.1111
--> Epoch 1: loss 2.1905; accuracy: 0.1000; best accuracy: 0.1111
--> Epoch 2: loss 2.1177; accuracy: 0.0944; best accuracy: 0.1111
--> Epoch 3: loss 2.1581; accuracy: 0.1222; best accuracy: 0.1222
--> Epoch 4: loss 2.1415; accuracy: 0.1500; best accuracy: 0.1500
--> Epoch 5: loss 2.0846; accuracy: 0.1500; best accuracy: 0.1500
--> Epoch 6: loss 2.1042; accuracy: 0.1667; best accuracy: 0.1667
--> Epoch 7: loss 2.0455; accuracy: 0.1889; best accuracy: 0.1889
--> Epoch 8: loss 2.0922; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 9: loss 2.0876; accuracy: 0.2167; best accuracy: 0.2167
--> Epoch 10: loss 2.0026; accuracy: 0.2389; best accuracy: 0.2389
--> Epoch 11: loss 1.9747; accuracy: 0.2000; best accuracy: 0.2389
--> Epoch 12: loss 2.0802; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 13: loss 2.1484; accuracy: 0.2278; best accuracy: 0.2500
--> Epoch 14: loss 2.0051; accuracy: 0.2389; best accuracy: 0.2500
--> Epoch 15: loss 1.9889; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 16: loss 1.9614; accuracy: 0.2889; best accuracy: 0.2889
--> Epoch 17: loss 2.0651; accuracy: 0.2500; best accuracy: 0.2889
--> Epoch 18: loss 1.9948; accuracy: 0.3278; best accuracy: 0.3278
--> Epoch 19: loss 1.9622; accuracy: 0.2778; best accuracy: 0.3278
--> Epoch 20: loss 1.9453; accuracy: 0.3000; best accuracy: 0.3278
--> Epoch 21: loss 1.8656; accuracy: 0.2889; best accuracy: 0.3278
--> Epoch 22: loss 2.0288; accuracy: 0.3389; best accuracy: 0.3389
--> Epoch 23: loss 1.9209; accuracy: 0.2778; best accuracy: 0.3389
--> Epoch 24: loss 2.0062; accuracy: 0.2944; best accuracy: 0.3389
--> Epoch 25: loss 1.9335; accuracy: 0.3167; best accuracy: 0.3389
--> Epoch 26: loss 1.8314; accuracy: 0.3167; best accuracy: 0.3389
--> Epoch 27: loss 1.9210; accuracy: 0.3722; best accuracy: 0.3722
--> Epoch 28: loss 1.8558; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 29: loss 1.9878; accuracy: 0.3667; best accuracy: 0.4000
--> Epoch 30: loss 1.9210; accuracy: 0.3444; best accuracy: 0.4000
--> Epoch 31: loss 1.8487; accuracy: 0.3333; best accuracy: 0.4000
--> Epoch 32: loss 1.7553; accuracy: 0.3778; best accuracy: 0.4000
--> Epoch 33: loss 1.8008; accuracy: 0.4056; best accuracy: 0.4056
--> Epoch 34: loss 1.8231; accuracy: 0.3278; best accuracy: 0.4056
--> Epoch 35: loss 1.9445; accuracy: 0.3833; best accuracy: 0.4056
--> Epoch 36: loss 1.8685; accuracy: 0.4000; best accuracy: 0.4056
--> Epoch 37: loss 1.8631; accuracy: 0.3500; best accuracy: 0.4056
--> Epoch 38: loss 1.8566; accuracy: 0.3722; best accuracy: 0.4056
--> Epoch 39: loss 1.9152; accuracy: 0.3556; best accuracy: 0.4056
--> Epoch 40: loss 1.7970; accuracy: 0.3667; best accuracy: 0.4056
--> Epoch 41: loss 1.7496; accuracy: 0.4167; best accuracy: 0.4167
--> Epoch 42: loss 1.8885; accuracy: 0.3944; best accuracy: 0.4167
--> Epoch 43: loss 1.7897; accuracy: 0.3778; best accuracy: 0.4167
--> Epoch 44: loss 1.7693; accuracy: 0.3278; best accuracy: 0.4167
--> Epoch 45: loss 1.8417; accuracy: 0.4278; best accuracy: 0.4278
--> Epoch 46: loss 1.7897; accuracy: 0.3556; best accuracy: 0.4278
--> Epoch 47: loss 1.8744; accuracy: 0.3944; best accuracy: 0.4278
--> Epoch 48: loss 1.7900; accuracy: 0.3833; best accuracy: 0.4278
--> Epoch 49: loss 1.7876; accuracy: 0.3889; best accuracy: 0.4278
--> Epoch 50: loss 1.7399; accuracy: 0.3111; best accuracy: 0.4278
--> Epoch 51: loss 1.8202; accuracy: 0.3833; best accuracy: 0.4278
--> Epoch 52: loss 1.7420; accuracy: 0.4556; best accuracy: 0.4556
--> Epoch 53: loss 1.7270; accuracy: 0.4222; best accuracy: 0.4556
--> Epoch 54: loss 1.6001; accuracy: 0.4000; best accuracy: 0.4556
--> Epoch 55: loss 1.7566; accuracy: 0.3944; best accuracy: 0.4556
--> Epoch 56: loss 1.7658; accuracy: 0.3722; best accuracy: 0.4556
--> Epoch 57: loss 1.7000; accuracy: 0.3389; best accuracy: 0.4556
--> Epoch 58: loss 1.7414; accuracy: 0.3611; best accuracy: 0.4556
--> Epoch 59: loss 1.6762; accuracy: 0.4222; best accuracy: 0.4556
--> Epoch 60: loss 1.7154; accuracy: 0.4556; best accuracy: 0.4556
--> Epoch 61: loss 1.7006; accuracy: 0.3833; best accuracy: 0.4556
--> Epoch 62: loss 1.7322; accuracy: 0.3556; best accuracy: 0.4556
--> Epoch 63: loss 1.6304; accuracy: 0.4222; best accuracy: 0.4556
--> Epoch 64: loss 1.6219; accuracy: 0.3722; best accuracy: 0.4556
--> Epoch 65: loss 1.6272; accuracy: 0.3778; best accuracy: 0.4556
--> Epoch 66: loss 2.0097; accuracy: 0.3944; best accuracy: 0.4556
--> Epoch 67: loss 1.6005; accuracy: 0.4222; best accuracy: 0.4556
--> Epoch 68: loss 1.8167; accuracy: 0.4722; best accuracy: 0.4722
--> Epoch 69: loss 1.5861; accuracy: 0.4111; best accuracy: 0.4722
--> Epoch 70: loss 1.7849; accuracy: 0.4611; best accuracy: 0.4722
--> Epoch 71: loss 1.7579; accuracy: 0.4333; best accuracy: 0.4722
--> Epoch 72: loss 1.6555; accuracy: 0.4778; best accuracy: 0.4778
--> Epoch 73: loss 1.8304; accuracy: 0.4111; best accuracy: 0.4778
--> Epoch 74: loss 1.8415; accuracy: 0.4333; best accuracy: 0.4778
--> Epoch 75: loss 1.6340; accuracy: 0.4500; best accuracy: 0.4778
--> Epoch 76: loss 1.6203; accuracy: 0.4667; best accuracy: 0.4778
--> Epoch 77: loss 1.7138; accuracy: 0.4444; best accuracy: 0.4778
--> Epoch 78: loss 1.5778; accuracy: 0.4389; best accuracy: 0.4778
--> Epoch 79: loss 1.5948; accuracy: 0.3778; best accuracy: 0.4778
--> Epoch 80: loss 1.5841; accuracy: 0.4944; best accuracy: 0.4944
--> Epoch 81: loss 1.5484; accuracy: 0.4556; best accuracy: 0.4944
--> Epoch 82: loss 1.6682; accuracy: 0.4111; best accuracy: 0.4944
--> Epoch 83: loss 1.6619; accuracy: 0.3833; best accuracy: 0.4944
--> Epoch 84: loss 1.4679; accuracy: 0.4278; best accuracy: 0.4944
--> Epoch 85: loss 1.5525; accuracy: 0.4500; best accuracy: 0.4944
--> Epoch 86: loss 1.5514; accuracy: 0.4222; best accuracy: 0.4944
--> Epoch 87: loss 1.5612; accuracy: 0.4833; best accuracy: 0.4944
--> Epoch 88: loss 1.6831; accuracy: 0.4500; best accuracy: 0.4944
--> Epoch 89: loss 1.7937; accuracy: 0.4278; best accuracy: 0.4944
--> Epoch 90: loss 1.6037; accuracy: 0.4167; best accuracy: 0.4944
--> Epoch 91: loss 1.5942; accuracy: 0.4889; best accuracy: 0.4944
--> Epoch 92: loss 1.6801; accuracy: 0.4222; best accuracy: 0.4944
--> Epoch 93: loss 1.6806; accuracy: 0.3833; best accuracy: 0.4944
--> Epoch 94: loss 1.7335; accuracy: 0.3667; best accuracy: 0.4944
--> Epoch 95: loss 1.5238; accuracy: 0.3167; best accuracy: 0.4944
--> Epoch 96: loss 1.6500; accuracy: 0.3722; best accuracy: 0.4944
--> Epoch 97: loss 1.6752; accuracy: 0.3944; best accuracy: 0.4944
--> Epoch 98: loss 1.4846; accuracy: 0.4167; best accuracy: 0.4944
--> Epoch 99: loss 1.7485; accuracy: 0.3833; best accuracy: 0.4944
--> Epoch 100: loss 1.5621; accuracy: 0.4278; best accuracy: 0.4944
--> Epoch 101: loss 1.6254; accuracy: 0.4722; best accuracy: 0.4944
--> Epoch 102: loss 1.4604; accuracy: 0.4500; best accuracy: 0.4944
--> Epoch 103: loss 1.5702; accuracy: 0.4667; best accuracy: 0.4944
--> Epoch 104: loss 1.4335; accuracy: 0.5333; best accuracy: 0.5333
--> Epoch 105: loss 1.6536; accuracy: 0.4333; best accuracy: 0.5333
--> Epoch 106: loss 1.6195; accuracy: 0.4222; best accuracy: 0.5333
--> Epoch 107: loss 1.5791; accuracy: 0.4722; best accuracy: 0.5333
--> Epoch 108: loss 1.5035; accuracy: 0.4222; best accuracy: 0.5333
--> Epoch 109: loss 1.6292; accuracy: 0.3833; best accuracy: 0.5333
--> Epoch 110: loss 1.4737; accuracy: 0.4056; best accuracy: 0.5333
--> Epoch 111: loss 1.5489; accuracy: 0.4444; best accuracy: 0.5333
--> Epoch 112: loss 1.5892; accuracy: 0.4389; best accuracy: 0.5333
--> Epoch 113: loss 1.5618; accuracy: 0.4389; best accuracy: 0.5333
--> Epoch 114: loss 1.5633; accuracy: 0.4667; best accuracy: 0.5333
--> Epoch 115: loss 1.4052; accuracy: 0.4389; best accuracy: 0.5333
--> Epoch 116: loss 1.5748; accuracy: 0.4222; best accuracy: 0.5333
--> Epoch 117: loss 1.7325; accuracy: 0.4444; best accuracy: 0.5333
--> Epoch 118: loss 1.5982; accuracy: 0.5000; best accuracy: 0.5333
--> Epoch 119: loss 1.4859; accuracy: 0.5167; best accuracy: 0.5333
--> Epoch 120: loss 1.4091; accuracy: 0.4167; best accuracy: 0.5333
--> Epoch 121: loss 1.6053; accuracy: 0.4056; best accuracy: 0.5333
--> Epoch 122: loss 1.6132; accuracy: 0.4611; best accuracy: 0.5333
--> Epoch 123: loss 1.5307; accuracy: 0.4722; best accuracy: 0.5333
--> Epoch 124: loss 1.5298; accuracy: 0.4889; best accuracy: 0.5333
--> Epoch 125: loss 1.4539; accuracy: 0.4500; best accuracy: 0.5333
--> Epoch 126: loss 1.4230; accuracy: 0.4944; best accuracy: 0.5333
--> Epoch 127: loss 1.6353; accuracy: 0.4556; best accuracy: 0.5333
--> Epoch 128: loss 1.4351; accuracy: 0.4389; best accuracy: 0.5333
--> Epoch 129: loss 1.6493; accuracy: 0.4333; best accuracy: 0.5333
--> Epoch 130: loss 1.5228; accuracy: 0.4944; best accuracy: 0.5333
--> Epoch 131: loss 1.3829; accuracy: 0.4667; best accuracy: 0.5333
--> Epoch 132: loss 1.5437; accuracy: 0.4389; best accuracy: 0.5333
--> Epoch 133: loss 1.4713; accuracy: 0.4167; best accuracy: 0.5333
--> Epoch 134: loss 1.3943; accuracy: 0.4167; best accuracy: 0.5333
--> Epoch 135: loss 1.5525; accuracy: 0.4611; best accuracy: 0.5333
--> Epoch 136: loss 1.3069; accuracy: 0.4278; best accuracy: 0.5333
--> Epoch 137: loss 1.3323; accuracy: 0.4667; best accuracy: 0.5333
--> Epoch 138: loss 1.4120; accuracy: 0.4389; best accuracy: 0.5333
--> Epoch 139: loss 1.4565; accuracy: 0.4667; best accuracy: 0.5333
--> Epoch 140: loss 1.6766; accuracy: 0.4778; best accuracy: 0.5333
--> Epoch 141: loss 1.4586; accuracy: 0.4167; best accuracy: 0.5333
--> Epoch 142: loss 1.6880; accuracy: 0.4333; best accuracy: 0.5333
--> Epoch 143: loss 1.4812; accuracy: 0.4500; best accuracy: 0.5333
--> Epoch 144: loss 1.3729; accuracy: 0.5000; best accuracy: 0.5333
--> Epoch 145: loss 1.6581; accuracy: 0.4556; best accuracy: 0.5333
--> Epoch 146: loss 1.5145; accuracy: 0.4389; best accuracy: 0.5333
--> Epoch 147: loss 1.6648; accuracy: 0.4222; best accuracy: 0.5333
--> Epoch 148: loss 1.5830; accuracy: 0.4722; best accuracy: 0.5333
--> Epoch 149: loss 1.5562; accuracy: 0.4611; best accuracy: 0.5333
--> Epoch 150: loss 1.6381; accuracy: 0.4833; best accuracy: 0.5333
