--> Epoch 0: loss 2.2426; accuracy: 0.1111; best accuracy: 0.1111
--> Epoch 1: loss 2.1312; accuracy: 0.0778; best accuracy: 0.1111
--> Epoch 2: loss 2.1420; accuracy: 0.0944; best accuracy: 0.1111
--> Epoch 3: loss 2.1493; accuracy: 0.1167; best accuracy: 0.1167
--> Epoch 4: loss 2.1632; accuracy: 0.1500; best accuracy: 0.1500
--> Epoch 5: loss 2.0966; accuracy: 0.1611; best accuracy: 0.1611
--> Epoch 6: loss 2.0559; accuracy: 0.1778; best accuracy: 0.1778
--> Epoch 7: loss 2.0674; accuracy: 0.1722; best accuracy: 0.1778
--> Epoch 8: loss 2.0604; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 9: loss 2.0533; accuracy: 0.2111; best accuracy: 0.2111
--> Epoch 10: loss 1.9698; accuracy: 0.2056; best accuracy: 0.2111
--> Epoch 11: loss 1.9927; accuracy: 0.2000; best accuracy: 0.2111
--> Epoch 12: loss 2.0561; accuracy: 0.2389; best accuracy: 0.2389
--> Epoch 13: loss 2.0268; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 14: loss 2.0341; accuracy: 0.2778; best accuracy: 0.2778
--> Epoch 15: loss 2.0858; accuracy: 0.3111; best accuracy: 0.3111
--> Epoch 16: loss 2.0615; accuracy: 0.2667; best accuracy: 0.3111
--> Epoch 17: loss 1.9912; accuracy: 0.3056; best accuracy: 0.3111
--> Epoch 18: loss 1.9609; accuracy: 0.2778; best accuracy: 0.3111
--> Epoch 19: loss 1.9591; accuracy: 0.3000; best accuracy: 0.3111
--> Epoch 20: loss 1.9178; accuracy: 0.2833; best accuracy: 0.3111
--> Epoch 21: loss 2.0660; accuracy: 0.2389; best accuracy: 0.3111
--> Epoch 22: loss 2.0800; accuracy: 0.2278; best accuracy: 0.3111
--> Epoch 23: loss 1.9915; accuracy: 0.2889; best accuracy: 0.3111
--> Epoch 24: loss 1.9175; accuracy: 0.2833; best accuracy: 0.3111
--> Epoch 25: loss 2.0290; accuracy: 0.3056; best accuracy: 0.3111
--> Epoch 26: loss 1.8694; accuracy: 0.2889; best accuracy: 0.3111
--> Epoch 27: loss 2.0023; accuracy: 0.2389; best accuracy: 0.3111
--> Epoch 28: loss 1.7889; accuracy: 0.3278; best accuracy: 0.3278
--> Epoch 29: loss 2.0086; accuracy: 0.2722; best accuracy: 0.3278
--> Epoch 30: loss 2.0366; accuracy: 0.2889; best accuracy: 0.3278
--> Epoch 31: loss 1.8480; accuracy: 0.2889; best accuracy: 0.3278
--> Epoch 32: loss 1.9814; accuracy: 0.2611; best accuracy: 0.3278
--> Epoch 33: loss 1.7695; accuracy: 0.2556; best accuracy: 0.3278
--> Epoch 34: loss 2.0824; accuracy: 0.3167; best accuracy: 0.3278
--> Epoch 35: loss 1.9355; accuracy: 0.2556; best accuracy: 0.3278
--> Epoch 36: loss 2.0139; accuracy: 0.3167; best accuracy: 0.3278
--> Epoch 37: loss 1.8736; accuracy: 0.3444; best accuracy: 0.3444
--> Epoch 38: loss 1.7940; accuracy: 0.2889; best accuracy: 0.3444
--> Epoch 39: loss 2.0387; accuracy: 0.2611; best accuracy: 0.3444
--> Epoch 40: loss 1.8805; accuracy: 0.2722; best accuracy: 0.3444
--> Epoch 41: loss 1.7796; accuracy: 0.3333; best accuracy: 0.3444
--> Epoch 42: loss 1.8153; accuracy: 0.3056; best accuracy: 0.3444
--> Epoch 43: loss 1.9208; accuracy: 0.2944; best accuracy: 0.3444
--> Epoch 44: loss 1.7661; accuracy: 0.3111; best accuracy: 0.3444
--> Epoch 45: loss 1.8644; accuracy: 0.3167; best accuracy: 0.3444
--> Epoch 46: loss 1.8885; accuracy: 0.2944; best accuracy: 0.3444
--> Epoch 47: loss 1.8233; accuracy: 0.3167; best accuracy: 0.3444
--> Epoch 48: loss 1.8969; accuracy: 0.3333; best accuracy: 0.3444
--> Epoch 49: loss 1.8786; accuracy: 0.3278; best accuracy: 0.3444
--> Epoch 50: loss 1.7532; accuracy: 0.3833; best accuracy: 0.3833
--> Epoch 51: loss 1.9079; accuracy: 0.3722; best accuracy: 0.3833
--> Epoch 52: loss 1.7827; accuracy: 0.3556; best accuracy: 0.3833
--> Epoch 53: loss 1.7276; accuracy: 0.2944; best accuracy: 0.3833
--> Epoch 54: loss 1.9033; accuracy: 0.3333; best accuracy: 0.3833
--> Epoch 55: loss 1.9048; accuracy: 0.3556; best accuracy: 0.3833
--> Epoch 56: loss 1.7640; accuracy: 0.3556; best accuracy: 0.3833
--> Epoch 57: loss 1.8196; accuracy: 0.2833; best accuracy: 0.3833
--> Epoch 58: loss 1.6645; accuracy: 0.2667; best accuracy: 0.3833
--> Epoch 59: loss 1.9219; accuracy: 0.3167; best accuracy: 0.3833
--> Epoch 60: loss 1.9242; accuracy: 0.3889; best accuracy: 0.3889
--> Epoch 61: loss 1.7094; accuracy: 0.3000; best accuracy: 0.3889
--> Epoch 62: loss 1.6547; accuracy: 0.3222; best accuracy: 0.3889
--> Epoch 63: loss 1.9614; accuracy: 0.3722; best accuracy: 0.3889
--> Epoch 64: loss 1.7638; accuracy: 0.3389; best accuracy: 0.3889
--> Epoch 65: loss 1.8440; accuracy: 0.3444; best accuracy: 0.3889
--> Epoch 66: loss 1.7770; accuracy: 0.3389; best accuracy: 0.3889
--> Epoch 67: loss 1.9115; accuracy: 0.3444; best accuracy: 0.3889
--> Epoch 68: loss 1.8631; accuracy: 0.3111; best accuracy: 0.3889
--> Epoch 69: loss 1.6007; accuracy: 0.2556; best accuracy: 0.3889
--> Epoch 70: loss 1.8322; accuracy: 0.3556; best accuracy: 0.3889
--> Epoch 71: loss 1.7778; accuracy: 0.3722; best accuracy: 0.3889
--> Epoch 72: loss 1.7955; accuracy: 0.2889; best accuracy: 0.3889
--> Epoch 73: loss 1.8240; accuracy: 0.3611; best accuracy: 0.3889
--> Epoch 74: loss 1.7314; accuracy: 0.3167; best accuracy: 0.3889
--> Epoch 75: loss 1.6852; accuracy: 0.3889; best accuracy: 0.3889
--> Epoch 76: loss 1.7280; accuracy: 0.3222; best accuracy: 0.3889
