time,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.fAHUPHValveSetADSInternalValuesMirror,ADS.eAHUPHPumpContModeADSInternalValuesMirror,ADS.bAHUPHPumpErrorADSInternalValuesMirror,ADS.bAHUPHPumpOperatingADSInternalValuesMirror,ADS.fAHUPHPumpPowerADSInternalValuesMirror,ADS.fAHUPHPumpPressureADSInternalValuesMirror,ADS.bAHUPHPumpSetOnADSInternalValuesMirror,ADS.fAHUPHPumpSetpointADSInternalValuesMirror,ADS.fAHUPHPumpSpeedADSInternalValuesMirror,ADS.fAHUPHPumpVolFlowADSInternalValuesMirror,ADS.fAHUPHTempSupPrimADSInternalValuesMirror,ADS.fAHUPHTempRetPrimADSInternalValuesMirror,ADS.fAHUPHTempSupADSInternalValuesMirror,ADS.fAHUPHTempRetADSInternalValuesMirror
2023-03-01T00:00:00Z,33.04009330749512,33.05769031524658,6.0,0.0,1.0,27.06,0.2937000000476837,1.0,50.0,2307.4,1.5170000040531157,83.1570002746582,68.25199989318848,33.85799999237061,23.26500015258789
2023-03-01T00:15:00Z,33.10881514596467,33.091806978282364,6.0,0.0,1.0,27.03960396039604,0.2939009899550145,1.0,50.0,2307.168316831683,1.5089108932136308,82.75544557476988,67.73069309952236,34.650495245905205,23.53861387649385
2023-03-01T00:30:00Z,33.11092504501343,33.11100904464722,6.0,0.0,1.0,27.17,0.29389999985694887,1.0,50.0,2307.24,1.5150000035762787,87.72700012207031,72.06600021362304,35.321000213623044,24.045000076293945
2023-03-01T00:45:00Z,33.474082927703854,33.4871747970581,6.0,0.0,1.0,27.138613861386137,0.2938019801484476,1.0,50.0,2307.237623762376,1.511881190951508,86.42300003051758,70.78811864569636,34.896039415114,23.825742683788338
2023-03-01T01:00:00Z,33.44761940984443,33.44886101826583,6.0,0.0,1.0,27.11,0.29379999995231626,1.0,50.0,2307.52,1.50700000166893,85.86435669247467,70.56099983215331,34.90500022888184,23.738000297546385
2023-03-01T01:15:00Z,33.00888492584229,33.000329933166505,6.0,0.0,1.0,27.03,0.2935000002384186,1.0,50.0,2307.34,1.5080000019073487,86.92900039672851,71.50999969482422,34.67800018310547,23.715000095367433
2023-03-01T01:30:00Z,33.307901000976564,33.30398775100708,6.0,0.0,1.0,27.1,0.2939999997615814,1.0,50.0,2307.13,1.5080000019073487,87.34700004577637,71.89400024414063,34.575000228881834,23.54400011062622
2023-03-01T01:45:00Z,31.84561363069138,31.850491684262114,6.0,0.0,1.0,27.178217821782177,0.29350495072874694,1.0,50.0,2307.4950495049507,1.507920793967672,91.19900958372814,75.18217815739094,34.994059798741105,23.8524753079556
2023-03-01T02:00:00Z,32.44035690307617,32.44488718032837,6.0,0.0,1.0,27.17,0.2939999997615814,1.0,50.0,2307.16,1.5090000021457672,91.15999992370605,75.13900085449218,35.247000274658205,23.99300006866455
2023-03-01T02:15:00Z,32.33357309341431,32.32906799316406,6.0,0.0,1.0,27.11,0.29389999985694887,1.0,50.0,2307.25,1.5100000023841857,90.64599967956543,74.71799987792969,35.62500015258789,24.172000141143798
2023-03-01T02:30:00Z,32.85647679319476,32.854828466283216,6.0,0.0,1.0,27.14851485148515,0.2939999997615814,1.0,50.0,2307.3762376237623,1.504950496229795,90.65742583322053,74.74455442523012,35.434653593762086,23.965346383576346
2023-03-01T02:45:00Z,33.973302612304686,33.976931762695315,6.0,0.0,1.0,27.08,0.2939999997615814,1.0,50.0,2307.46,1.5060000014305115,88.39000022888183,72.41899993896484,36.75700019836426,24.61900026321411
